variable,relative_importance,scaled_importance,percentage
passenger_count,148511.09375,1.0,0.8382898920345879
store_and_fwd_flag_Y,10433.4443359375,0.0702536360920007,0.0588929130146005
trip_duration,5813.296875,0.039143856046107664,0.03281389885870905
dropoff_datetime,2353.48876953125,0.015847225349326807,0.013284568827134954
haversine_distance,2175.67529296875,0.014649917646093358,0.012280877881859206
pickup_datetime,1967.548095703125,0.013248492392192923,0.011106077257072466
pickup_longitude,1748.7716064453125,0.011775360091207412,0.009871165339526658
pickup_latitude,1732.287841796875,0.011664366600874724,0.009778120618499126
dropoff_longitude,1234.3299560546875,0.008311365332293147,0.006967333547068039
dropoff_latitude,1189.6536865234375,0.008010537505878665,0.006715152620942043
