variable,relative_importance,scaled_importance,percentage
passenger_count,1137797.25,1.0,0.6874549037534422
trip_duration,81058.7265625,0.07124180214225338,0.04897552623492457
store_and_fwd_flag_Y,76476.765625,0.0672147569569183,0.04620711427462927
haversine_distance,56977.53515625,0.050077054726797764,0.03442571683746662
pickup_longitude,52128.06640625,0.04581489927687028,0.03149567717285451
pickup_datetime,51211.14453125,0.045009024702116304,0.030941674744629666
dropoff_datetime,50965.81640625,0.04479340796987337,0.030793447964717967
dropoff_latitude,50483.41015625,0.04436942535785703,0.030501979038981147
pickup_latitude,50210.890625,0.04412991033771614,0.030337323263862688
dropoff_longitude,47776.77734375,0.0419905895745046,0.028866636714491353
