Model Name,ntrees_default,ntrees_actual,max_depth_default,max_depth_actual,min_rows_default,min_rows_actual,min_sum_hessian_in_leaf_default,min_sum_hessian_in_leaf_actual,sample_rate_default,sample_rate_actual,col_sample_rate_default,col_sample_rate_actual,col_sample_rate_per_tree_default,col_sample_rate_per_tree_actual,reg_lambda_default,reg_lambda_actual,reg_alpha_default,reg_alpha_actual
XGBoost_grid_1_AutoML_20190426_094045_model_1,50,163,6,10,1.0,10.0,100.0,100.0,1.0,0.6,1.0,0.8,1.0,0.7,1.0,0.1,0.0,0.01
XGBoost_3_AutoML_20190426_093335,50,150,6,20,1.0,10.0,100.0,100.0,1.0,0.6,1.0,0.8,1.0,0.8,1.0,1.0,0.0,0.0
XGBoost_3_AutoML_20190426_094045,50,147,6,20,1.0,10.0,100.0,100.0,1.0,0.6,1.0,0.8,1.0,0.8,1.0,1.0,0.0,0.0
XGBoost_grid_1_AutoML_20190426_093335_model_1,50,171,6,10,1.0,5.0,100.0,100.0,1.0,0.6,1.0,0.8,1.0,0.8,1.0,1.0,0.0,0.01
XGBoost_grid_1_AutoML_20190426_094045_model_4,50,180,6,5,1.0,20.0,100.0,100.0,1.0,0.8,1.0,1.0,1.0,1.0,1.0,0.01,0.0,0.5
XGBoost_2_AutoML_20190426_094045,50,147,6,20,1.0,10.0,100.0,100.0,1.0,0.6,1.0,0.8,1.0,0.8,1.0,1.0,0.0,0.0
XGBoost_2_AutoML_20190426_093335,50,150,6,20,1.0,10.0,100.0,100.0,1.0,0.6,1.0,0.8,1.0,0.8,1.0,1.0,0.0,0.0
XGBoost_1_AutoML_20190426_094045,50,147,6,20,1.0,10.0,100.0,100.0,1.0,0.6,1.0,0.8,1.0,0.8,1.0,1.0,0.0,0.0
XGBoost_grid_1_AutoML_20190426_094045_model_2,50,165,6,10,1.0,15.0,100.0,100.0,1.0,1.0,1.0,0.6,1.0,0.9,1.0,0.001,0.0,0.1
XGBoost_1_AutoML_20190426_093335,50,150,6,20,1.0,10.0,100.0,100.0,1.0,0.6,1.0,0.8,1.0,0.8,1.0,1.0,0.0,0.0
XGBoost_grid_1_AutoML_20190426_093335_model_5,50,180,6,10,1.0,0.1,100.0,100.0,1.0,0.6,1.0,0.6,1.0,0.9,1.0,1.0,0.0,0.1
XGBoost_grid_1_AutoML_20190426_093335_model_4,50,270,6,20,1.0,20.0,100.0,100.0,1.0,1.0,1.0,0.6,1.0,0.7,1.0,100.0,0.0,0.5
XGBoost_grid_1_AutoML_20190426_094045_model_5,50,137,6,15,1.0,0.1,100.0,100.0,1.0,0.8,1.0,0.8,1.0,1.0,1.0,0.001,0.0,0.01
XGBoost_grid_1_AutoML_20190426_094045_model_3,50,250,6,10,1.0,3.0,100.0,100.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,0.0,0.5
XGBoost_grid_1_AutoML_20190426_093335_model_6,50,161,6,10,1.0,0.1,100.0,100.0,1.0,1.0,1.0,0.8,1.0,1.0,1.0,0.001,0.0,0.001
XGBoost_grid_1_AutoML_20190426_212301_model_2,50,71,6,5,1.0,1.0,100.0,100.0,1.0,1.0,1.0,0.8,1.0,0.8,1.0,10.0,0.0,0.1
XGBoost_grid_1_AutoML_20190426_212301_model_3,50,74,6,5,1.0,20.0,100.0,100.0,1.0,0.6,1.0,0.6,1.0,0.9,1.0,10.0,0.0,0.5
XGBoost_grid_1_AutoML_20190426_203923_model_5,50,69,6,15,1.0,20.0,100.0,100.0,1.0,0.8,1.0,0.6,1.0,0.7,1.0,0.01,0.0,0.5
XGBoost_grid_1_AutoML_20190426_210356_model_6,50,87,6,20,1.0,10.0,100.0,100.0,1.0,0.8,1.0,0.8,1.0,0.9,1.0,100.0,0.0,0.01
XGBoost_grid_1_AutoML_20190426_204449_model_7,50,89,6,5,1.0,20.0,100.0,100.0,1.0,0.8,1.0,1.0,1.0,0.8,1.0,100.0,0.0,0.1
XGBoost_1_AutoML_20190426_203923,50,44,6,20,1.0,10.0,100.0,100.0,1.0,0.6,1.0,0.8,1.0,0.8,1.0,1.0,0.0,0.0
XGBoost_grid_1_AutoML_20190426_210356_model_9,50,66,6,5,1.0,20.0,100.0,100.0,1.0,0.6,1.0,0.8,1.0,0.8,1.0,0.01,0.0,0.001
XGBoost_grid_1_AutoML_20190426_203923_model_3,50,69,6,5,1.0,15.0,100.0,100.0,1.0,0.8,1.0,0.8,1.0,0.7,1.0,10.0,0.0,0.001
XGBoost_grid_1_AutoML_20190426_204449_model_5,50,92,6,15,1.0,1.0,100.0,100.0,1.0,0.6,1.0,0.6,1.0,0.9,1.0,100.0,0.0,0.5
XGBoost_grid_1_AutoML_20190426_204449_model_3,50,88,6,20,1.0,0.01,100.0,100.0,1.0,0.8,1.0,0.6,1.0,0.8,1.0,100.0,0.0,1.0
XGBoost_grid_1_AutoML_20190426_203923_model_2,50,68,6,5,1.0,15.0,100.0,100.0,1.0,1.0,1.0,0.6,1.0,0.7,1.0,0.001,0.0,0.5
XGBoost_grid_1_AutoML_20190426_212301_model_6,50,66,6,15,1.0,20.0,100.0,100.0,1.0,0.6,1.0,0.8,1.0,1.0,1.0,10.0,0.0,0.5
XGBoost_3_AutoML_20190426_204449,50,45,6,20,1.0,10.0,100.0,100.0,1.0,0.6,1.0,0.8,1.0,0.8,1.0,1.0,0.0,0.0
XGBoost_grid_1_AutoML_20190426_204449_model_6,50,67,6,10,1.0,10.0,100.0,100.0,1.0,0.6,1.0,0.8,1.0,1.0,1.0,0.1,0.0,1.0
XGBoost_grid_1_AutoML_20190426_210356_model_4,50,80,6,10,1.0,10.0,100.0,100.0,1.0,0.8,1.0,0.6,1.0,0.9,1.0,100.0,0.0,0.01
XGBoost_1_AutoML_20190426_210356,50,44,6,20,1.0,10.0,100.0,100.0,1.0,0.6,1.0,0.8,1.0,0.8,1.0,1.0,0.0,0.0
XGBoost_grid_1_AutoML_20190426_212301_model_8,50,72,6,15,1.0,15.0,100.0,100.0,1.0,0.6,1.0,0.8,1.0,0.7,1.0,10.0,0.0,0.1
XGBoost_grid_1_AutoML_20190426_203923_model_8,50,68,6,5,1.0,20.0,100.0,100.0,1.0,1.0,1.0,0.6,1.0,0.7,1.0,0.1,0.0,0.5
XGBoost_3_AutoML_20190426_210356,50,44,6,20,1.0,10.0,100.0,100.0,1.0,0.6,1.0,0.8,1.0,0.8,1.0,1.0,0.0,0.0
XGBoost_grid_1_AutoML_20190426_210356_model_8,50,67,6,5,1.0,5.0,100.0,100.0,1.0,0.8,1.0,1.0,1.0,0.7,1.0,0.01,0.0,0.5
XGBoost_1_AutoML_20190426_204449,50,45,6,20,1.0,10.0,100.0,100.0,1.0,0.6,1.0,0.8,1.0,0.8,1.0,1.0,0.0,0.0
XGBoost_1_AutoML_20190426_212301,50,43,6,20,1.0,10.0,100.0,100.0,1.0,0.6,1.0,0.8,1.0,0.8,1.0,1.0,0.0,0.0
XGBoost_grid_1_AutoML_20190426_203923_model_4,50,67,6,20,1.0,0.1,100.0,100.0,1.0,0.8,1.0,1.0,1.0,1.0,1.0,100.0,0.0,1.0
XGBoost_2_AutoML_20190426_204449,50,45,6,20,1.0,10.0,100.0,100.0,1.0,0.6,1.0,0.8,1.0,0.8,1.0,1.0,0.0,0.0
XGBoost_grid_1_AutoML_20190426_212301_model_5,50,63,6,10,1.0,5.0,100.0,100.0,1.0,1.0,1.0,0.8,1.0,0.8,1.0,1.0,0.0,0.01
XGBoost_3_AutoML_20190426_203923,50,44,6,20,1.0,10.0,100.0,100.0,1.0,0.6,1.0,0.8,1.0,0.8,1.0,1.0,0.0,0.0
XGBoost_2_AutoML_20190426_203923,50,44,6,20,1.0,10.0,100.0,100.0,1.0,0.6,1.0,0.8,1.0,0.8,1.0,1.0,0.0,0.0
