Model Name,histogram_type_default,histogram_type_actual,ntrees_default,ntrees_actual,max_depth_default,max_depth_actual,min_rows_default,min_rows_actual,learn_rate_default,learn_rate_actual,sample_rate_default,sample_rate_actual,col_sample_rate_default,col_sample_rate_actual,col_sample_rate_per_tree_default,col_sample_rate_per_tree_actual,min_split_improvement_default,min_split_improvement_actual
GBM_grid_1_AutoML_20190426_093335_model_5,AUTO,AUTO,50,62,5,12,10.0,15.0,0.1,0.1,1.0,0.8,1.0,1.0,1.0,0.7,1e-05,0.0001
GBM_grid_1_AutoML_20190426_093335_model_1,AUTO,AUTO,50,73,5,5,10.0,30.0,0.1,0.1,1.0,0.7,1.0,0.7,1.0,1.0,1e-05,0.0001
GBM_2_AutoML_20190426_093335,AUTO,AUTO,50,54,5,15,10.0,100.0,0.1,0.1,1.0,0.8,1.0,0.8,1.0,0.8,1e-05,1e-05
GBM_4_AutoML_20190426_093335,AUTO,AUTO,50,54,5,15,10.0,100.0,0.1,0.1,1.0,0.8,1.0,0.8,1.0,0.8,1e-05,1e-05
GBM_2_AutoML_20190426_094045,AUTO,AUTO,50,54,5,15,10.0,100.0,0.1,0.1,1.0,0.8,1.0,0.8,1.0,0.8,1e-05,1e-05
GBM_3_AutoML_20190426_093335,AUTO,AUTO,50,54,5,15,10.0,100.0,0.1,0.1,1.0,0.8,1.0,0.8,1.0,0.8,1e-05,1e-05
GBM_4_AutoML_20190426_094045,AUTO,AUTO,50,54,5,15,10.0,100.0,0.1,0.1,1.0,0.8,1.0,0.8,1.0,0.8,1e-05,1e-05
GBM_1_AutoML_20190426_094045,AUTO,AUTO,50,54,5,15,10.0,100.0,0.1,0.1,1.0,0.8,1.0,0.8,1.0,0.8,1e-05,1e-05
GBM_1_AutoML_20190426_093335,AUTO,AUTO,50,54,5,15,10.0,100.0,0.1,0.1,1.0,0.8,1.0,0.8,1.0,0.8,1e-05,1e-05
GBM_3_AutoML_20190426_094045,AUTO,AUTO,50,54,5,15,10.0,100.0,0.1,0.1,1.0,0.8,1.0,0.8,1.0,0.8,1e-05,1e-05
GBM_grid_1_AutoML_20190426_093335_model_4,AUTO,AUTO,50,63,5,9,10.0,1.0,0.1,0.1,1.0,0.6,1.0,1.0,1.0,0.4,1e-05,1e-05
GBM_5_AutoML_20190426_094045,AUTO,AUTO,50,54,5,15,10.0,100.0,0.1,0.1,1.0,0.8,1.0,0.8,1.0,0.8,1e-05,1e-05
GBM_5_AutoML_20190426_093335,AUTO,AUTO,50,54,5,15,10.0,100.0,0.1,0.1,1.0,0.8,1.0,0.8,1.0,0.8,1e-05,1e-05
GBM_grid_1_AutoML_20190426_093335_model_2,AUTO,AUTO,50,30,5,11,10.0,10.0,0.1,0.5,1.0,0.7,1.0,0.4,1.0,0.7,1e-05,0.0001
