variable,relative_importance,scaled_importance,percentage
OverallQual,150.62112426757812,1.0,0.22273031709332183
GrLivArea,139.47129821777344,0.9259743538363381,0.20624256145025138
TotalBsmtSF,66.94890594482422,0.4444855014220291,0.09900039667511269
BsmtFinSF1,32.25167465209961,0.21412451147824774,0.047692020339002744
GarageCars,31.902563095092773,0.2118066987630363,0.047175773177980766
YearRemodAdd,29.687828063964844,0.1971026853525836,0.04390074360852618
YearBuilt,23.085491180419922,0.1532686154925294,0.03413756732910549
LotArea,20.76648712158203,0.1378723417619059,0.03070835039902814
Fireplaces,18.7146053314209,0.12424953951461974,0.027674139334790473
1stFlrSF,18.58341407775879,0.12337853782544732,0.027480140852372284
GarageArea,16.24361801147461,0.10784422231916059,0.024020177833829332
CentralAir_Y,11.70195484161377,0.07769132582508992,0.01730421363642286
GarageYrBlt,11.629319190979004,0.07720908503059333,0.0171968039913493
ExterQual_TA,9.565483093261719,0.06350691604365306,0.014144915548021813
LotFrontage,7.44279146194458,0.04941399487048361,0.011005994746350592
KitchenQual_TA,6.357560634613037,0.04220895751195459,0.009401214490816193
FireplaceQu_None,6.1126227378845215,0.0405827719558477,0.009039013666251927
SaleCondition_Normal,4.915677070617676,0.032636040226900614,0.00726903558840798
MSZoning_RM,4.269655227661133,0.028346988169309497,0.006313733663590947
ExterCond_Fa,4.2529168128967285,0.028235858904767104,0.006288981807261072
MasVnrArea,3.749441146850586,0.02489319585870114,0.0055444694070746715
GarageType_Attchd,3.232409954071045,0.02146053529867879,0.004779911832067153
Neighborhood_IDOTRR,3.1828253269195557,0.021131334282602172,0.004706588785368965
Functional_Typ,3.0753235816955566,0.020417611385188245,0.0045476210581111955
MSZoning_RL,2.661987066268921,0.017673397932815228,0.003936401525692394
Condition1_Norm,2.3602845668792725,0.015670342246856633,0.003490260297603255
FullBath,2.253126621246338,0.014958901895086528,0.003331800962460515
TotRmsAbvGrd,2.1004018783569336,0.013944935602960803,0.0031059599286934127
