,model_id,mean_residual_deviance,rmse,mse,mae,rmsle
0,XGBoost_grid_1_AutoML_20190426_124911_model_8,0.01811975730720841,0.13460964789794386,0.01811975730720841,0.09144005579491184,0.010430224416718216
1,StackedEnsemble_BestOfFamily_AutoML_20190426_124911,0.01825673417622161,0.13511748286665798,0.01825673417622161,0.08854660977280575,0.010435029582348458
2,StackedEnsemble_AllModels_AutoML_20190426_124911,0.018285937930236404,0.13522550769080666,0.018285937930236404,0.08916276368319538,0.010452771293702702
3,XGBoost_grid_1_AutoML_20190426_124911_model_17,0.018340642620703826,0.13542762871993227,0.018340642620703826,0.09159453666373477,0.010503201466144124
4,XGBoost_2_AutoML_20190426_124911,0.018405182305853748,0.13566570055048455,0.018405182305853748,0.0926261405422263,0.010504637681869057
5,XGBoost_grid_1_AutoML_20190426_124911_model_2,0.018551729713066976,0.1362047345471771,0.018551729713066976,0.092155152804231,0.010550952359923687
6,XGBoost_1_AutoML_20190426_124911,0.018657821235185786,0.13659363541243708,0.018657821235185786,0.0913262765701503,0.010557570021964302
7,XGBoost_grid_1_AutoML_20190426_124911_model_15,0.01875901203054364,0.13696354270587352,0.01875901203054364,0.09239916474851843,0.010611681379347766
8,XGBoost_grid_1_AutoML_20190426_124911_model_19,0.01876024093407479,0.13696802887562773,0.01876024093407479,0.09371710084889033,0.010619424968267215
9,GBM_grid_1_AutoML_20190426_124911_model_6,0.018807899891126124,0.13714189692113102,0.018807899891126124,0.09110360967633598,0.010634051041086185
10,XGBoost_grid_1_AutoML_20190426_124911_model_1,0.01894103149364576,0.13762642004224973,0.01894103149364576,0.09128435409232362,0.01065647808709043
11,XGBoost_grid_1_AutoML_20190426_124911_model_5,0.019479646735588125,0.13956950503454588,0.019479646735588125,0.09414313721330199,0.010818586978396412
12,GBM_3_AutoML_20190426_124911,0.019539953177928476,0.13978538256172734,0.019539953177928476,0.09312350454531668,0.010822426634879376
13,GBM_4_AutoML_20190426_124911,0.019619494573472496,0.14006960617304706,0.019619494573472496,0.0941625983803563,0.010845368093453205
14,GBM_2_AutoML_20190426_124911,0.019692618716151987,0.1403303912776986,0.019692618716151987,0.09346820578183687,0.01085802256324392
15,XGBoost_3_AutoML_20190426_124911,0.01971013187916444,0.14039277716166326,0.01971013187916444,0.09456462598826787,0.010861778442943656
16,XGBoost_grid_1_AutoML_20190426_124911_model_10,0.01975906099311057,0.1405669270956386,0.01975906099311057,0.09457364800858173,0.01087621419571326
