Model Name,ntrees_default,ntrees_actual,max_depth_default,max_depth_actual,min_rows_default,min_rows_actual,min_sum_hessian_in_leaf_default,min_sum_hessian_in_leaf_actual,sample_rate_default,sample_rate_actual,col_sample_rate_default,col_sample_rate_actual,col_sample_rate_per_tree_default,col_sample_rate_per_tree_actual,booster_default,booster_actual,reg_lambda_default,reg_lambda_actual,reg_alpha_default,reg_alpha_actual
XGBoost_grid_1_AutoML_20190426_124911_model_8,50,178,6,5,1.0,15.0,100.0,100.0,1.0,0.8,1.0,0.6,1.0,0.8,gbtree,gbtree,1.0,1.0,0.0,0.001
XGBoost_grid_1_AutoML_20190426_124911_model_17,50,181,6,20,1.0,20.0,100.0,100.0,1.0,0.8,1.0,0.6,1.0,0.8,gbtree,gbtree,1.0,0.1,0.0,0.5
XGBoost_2_AutoML_20190426_124911,50,147,6,5,1.0,3.0,100.0,100.0,1.0,0.8,1.0,0.8,1.0,0.8,gbtree,gbtree,1.0,1.0,0.0,0.0
XGBoost_grid_1_AutoML_20190426_124911_model_2,50,192,6,20,1.0,10.0,100.0,100.0,1.0,1.0,1.0,0.6,1.0,0.9,gbtree,gbtree,1.0,10.0,0.0,0.001
XGBoost_1_AutoML_20190426_124911,50,147,6,5,1.0,3.0,100.0,100.0,1.0,0.8,1.0,0.8,1.0,0.8,gbtree,gbtree,1.0,1.0,0.0,0.0
XGBoost_grid_1_AutoML_20190426_124911_model_15,50,166,6,20,1.0,15.0,100.0,100.0,1.0,1.0,1.0,1.0,1.0,0.7,gbtree,gbtree,1.0,1.0,0.0,0.001
XGBoost_grid_1_AutoML_20190426_124911_model_19,50,203,6,5,1.0,20.0,100.0,100.0,1.0,0.8,1.0,0.8,1.0,0.7,gbtree,gbtree,1.0,1.0,0.0,1.0
XGBoost_grid_1_AutoML_20190426_124911_model_1,50,163,6,5,1.0,10.0,100.0,100.0,1.0,0.8,1.0,0.8,1.0,1.0,gbtree,gbtree,1.0,0.01,0.0,0.001
XGBoost_grid_1_AutoML_20190426_124911_model_5,50,190,6,10,1.0,0.1,100.0,100.0,1.0,0.8,1.0,0.6,1.0,1.0,gbtree,gbtree,1.0,0.01,0.0,1.0
XGBoost_3_AutoML_20190426_124911,50,147,6,5,1.0,3.0,100.0,100.0,1.0,0.8,1.0,0.8,1.0,0.8,gbtree,gbtree,1.0,1.0,0.0,0.0
XGBoost_grid_1_AutoML_20190426_124911_model_10,50,192,6,10,1.0,3.0,100.0,100.0,1.0,0.8,1.0,1.0,1.0,1.0,gbtree,gbtree,1.0,10.0,0.0,0.001
XGBoost_grid_1_AutoML_20190426_124911_model_12,50,181,6,15,1.0,1.0,100.0,100.0,1.0,1.0,1.0,0.6,1.0,1.0,gbtree,gbtree,1.0,1.0,0.0,0.5
XGBoost_grid_1_AutoML_20190426_124911_model_13,50,159,6,20,1.0,3.0,100.0,100.0,1.0,1.0,1.0,0.6,1.0,0.7,gbtree,gbtree,1.0,0.01,0.0,0.001
XGBoost_grid_1_AutoML_20190426_124911_model_6,50,264,6,5,1.0,0.01,100.0,100.0,1.0,1.0,1.0,1.0,1.0,1.0,gbtree,gbtree,1.0,100.0,0.0,1.0
XGBoost_grid_1_AutoML_20190426_124911_model_4,50,86,6,5,1.0,15.0,100.0,100.0,1.0,0.8,1.0,1.0,1.0,0.7,gbtree,dart,1.0,0.001,0.0,1.0
XGBoost_grid_1_AutoML_20190426_124911_model_3,50,83,6,15,1.0,5.0,100.0,100.0,1.0,0.8,1.0,1.0,1.0,0.9,gbtree,dart,1.0,10.0,0.0,0.1
XGBoost_grid_1_AutoML_20190426_124911_model_18,50,71,6,10,1.0,15.0,100.0,100.0,1.0,0.6,1.0,0.6,1.0,0.8,gbtree,dart,1.0,0.01,0.0,0.001
XGBoost_grid_1_AutoML_20190426_124911_model_16,50,95,6,10,1.0,3.0,100.0,100.0,1.0,1.0,1.0,0.6,1.0,1.0,gbtree,dart,1.0,1.0,0.0,0.01
XGBoost_grid_1_AutoML_20190426_124911_model_7,50,104,6,10,1.0,10.0,100.0,100.0,1.0,0.6,1.0,0.8,1.0,0.8,gbtree,dart,1.0,0.01,0.0,0.1
XGBoost_grid_1_AutoML_20190426_124911_model_11,50,68,6,5,1.0,0.1,100.0,100.0,1.0,1.0,1.0,1.0,1.0,0.9,gbtree,dart,1.0,1.0,0.0,1.0
XGBoost_grid_1_AutoML_20190426_124911_model_9,50,117,6,5,1.0,10.0,100.0,100.0,1.0,0.8,1.0,0.6,1.0,0.8,gbtree,dart,1.0,0.001,0.0,0.5
XGBoost_grid_1_AutoML_20190426_124911_model_14,50,90,6,20,1.0,0.01,100.0,100.0,1.0,1.0,1.0,1.0,1.0,0.8,gbtree,dart,1.0,0.01,0.0,0.5
