Model Name,ntrees_default,ntrees_actual,max_depth_default,max_depth_actual,min_rows_default,min_rows_actual,min_sum_hessian_in_leaf_default,min_sum_hessian_in_leaf_actual,sample_rate_default,sample_rate_actual,col_sample_rate_default,col_sample_rate_actual,col_sample_rate_per_tree_default,col_sample_rate_per_tree_actual,booster_default,booster_actual,reg_lambda_default,reg_lambda_actual,reg_alpha_default,reg_alpha_actual
XGBoost_2_AutoML_20190426_121335,50,150,6,5,1.0,3.0,100.0,100.0,1.0,0.8,1.0,0.8,1.0,0.8,gbtree,gbtree,1.0,1.0,0.0,0.0
XGBoost_grid_1_AutoML_20190426_115827_model_1,50,184,6,20,1.0,15.0,100.0,100.0,1.0,0.6,1.0,1.0,1.0,0.9,gbtree,gbtree,1.0,0.1,0.0,0.5
XGBoost_2_AutoML_20190426_114654,50,148,6,5,1.0,3.0,100.0,100.0,1.0,0.8,1.0,0.8,1.0,0.8,gbtree,gbtree,1.0,1.0,0.0,0.0
XGBoost_grid_1_AutoML_20190426_114654_model_7,50,178,6,15,1.0,20.0,100.0,100.0,1.0,0.8,1.0,0.8,1.0,0.8,gbtree,gbtree,1.0,0.001,0.0,0.5
XGBoost_grid_1_AutoML_20190426_114654_model_9,50,173,6,15,1.0,15.0,100.0,100.0,1.0,0.8,1.0,0.8,1.0,0.7,gbtree,gbtree,1.0,1.0,0.0,0.01
XGBoost_grid_1_AutoML_20190426_114654_model_11,50,201,6,10,1.0,10.0,100.0,100.0,1.0,0.8,1.0,1.0,1.0,0.7,gbtree,gbtree,1.0,10.0,0.0,0.1
XGBoost_2_AutoML_20190426_115827,50,148,6,5,1.0,3.0,100.0,100.0,1.0,0.8,1.0,0.8,1.0,0.8,gbtree,gbtree,1.0,1.0,0.0,0.0
XGBoost_grid_1_AutoML_20190426_114654_model_3,50,198,6,5,1.0,15.0,100.0,100.0,1.0,0.8,1.0,0.6,1.0,1.0,gbtree,gbtree,1.0,0.1,0.0,1.0
XGBoost_grid_1_AutoML_20190426_114654_model_2,50,161,6,20,1.0,3.0,100.0,100.0,1.0,0.6,1.0,0.8,1.0,0.7,gbtree,gbtree,1.0,0.1,0.0,0.001
XGBoost_1_AutoML_20190426_115827,50,148,6,5,1.0,3.0,100.0,100.0,1.0,0.8,1.0,0.8,1.0,0.8,gbtree,gbtree,1.0,1.0,0.0,0.0
XGBoost_1_AutoML_20190426_121335,50,150,6,5,1.0,3.0,100.0,100.0,1.0,0.8,1.0,0.8,1.0,0.8,gbtree,gbtree,1.0,1.0,0.0,0.0
XGBoost_1_AutoML_20190426_114654,50,148,6,5,1.0,3.0,100.0,100.0,1.0,0.8,1.0,0.8,1.0,0.8,gbtree,gbtree,1.0,1.0,0.0,0.0
XGBoost_grid_1_AutoML_20190426_115827_model_4,50,180,6,10,1.0,15.0,100.0,100.0,1.0,1.0,1.0,0.8,1.0,1.0,gbtree,gbtree,1.0,0.1,0.0,1.0
XGBoost_grid_1_AutoML_20190426_114654_model_6,50,185,6,10,1.0,10.0,100.0,100.0,1.0,1.0,1.0,0.8,1.0,0.8,gbtree,gbtree,1.0,1.0,0.0,1.0
XGBoost_grid_1_AutoML_20190426_115827_model_6,50,200,6,10,1.0,0.1,100.0,100.0,1.0,0.6,1.0,1.0,1.0,0.8,gbtree,gbtree,1.0,0.01,0.0,1.0
XGBoost_grid_1_AutoML_20190426_115827_model_23,50,174,6,20,1.0,5.0,100.0,100.0,1.0,0.8,1.0,0.8,1.0,0.8,gbtree,gbtree,1.0,0.001,0.0,0.5
XGBoost_grid_1_AutoML_20190426_115827_model_19,50,160,6,20,1.0,10.0,100.0,100.0,1.0,1.0,1.0,0.8,1.0,1.0,gbtree,gbtree,1.0,0.1,0.0,0.01
XGBoost_grid_1_AutoML_20190426_115827_model_18,50,169,6,10,1.0,0.1,100.0,100.0,1.0,0.8,1.0,0.8,1.0,0.8,gbtree,gbtree,1.0,0.01,0.0,0.1
XGBoost_grid_1_AutoML_20190426_115827_model_20,50,201,6,15,1.0,10.0,100.0,100.0,1.0,1.0,1.0,0.6,1.0,0.8,gbtree,gbtree,1.0,10.0,0.0,1.0
XGBoost_grid_1_AutoML_20190426_115827_model_15,50,161,6,15,1.0,15.0,100.0,100.0,1.0,1.0,1.0,0.6,1.0,0.8,gbtree,gbtree,1.0,0.001,0.0,0.001
