variable,relative_importance,scaled_importance,percentage
OverallQual,179.54095458984375,1.0,0.24949628527928777
GrLivArea,136.1778564453125,0.7584779570566892,0.18923743275186714
TotalBsmtSF,76.8900146484375,0.42825891632408086,0.10684900876059152
LotArea,30.28984832763672,0.16870718102637375,0.042091814966020595
BsmtFinSF1,30.1682071685791,0.16802966898275393,0.04192277822790547
YearRemodAdd,28.695850372314453,0.1598289952165472,0.03987674058644958
YearBuilt,25.382667541503906,0.14137536251542104,0.03527262777761021
GarageArea,24.809276580810547,0.1381817125651729,0.03447582397854092
1stFlrSF,22.429292678833008,0.12492577378833757,0.031168516495830842
GarageCars,18.370067596435547,0.10231686490918715,0.025527677716264907
Fireplaces,16.80137062072754,0.09357959947973873,0.023347762448118387
FireplaceQu_None,15.06267261505127,0.08389546913940343,0.020931607902044284
GarageYrBlt,11.832748413085938,0.06590556700624388,0.01644319414728304
CentralAir_Y,10.28681755065918,0.05729510336045124,0.014294915453125423
ExterQual_TA,9.973908424377441,0.05555227467272052,0.013860086169658432
LotFrontage,6.811677932739258,0.03793941024932358,0.009465741922893171
MasVnrArea,5.326076984405518,0.029664969736697626,0.0074012997522285495
KitchenQual_TA,4.679750919342041,0.026065088770597215,0.0065031428237388835
SaleCondition_Normal,4.5608229637146,0.025402688618503064,0.006337876446422958
Functional_Typ,3.458757162094116,0.01926444676645253,0.004806407906190494
MSZoning_RM,3.369837522506714,0.018769185728153292,0.0046828421168912705
TotRmsAbvGrd,3.046051025390625,0.016965772697094334,0.0042328972648178
GarageType_Attchd,2.608582019805908,0.014529175394912767,0.0036249752892019644
ExterCond_Fa,2.5385372638702393,0.014139042925718291,0.0035276386873711067
Neighborhood_Crawfor,2.4626660346984863,0.01371645839983628,0.0034222054179470357
FullBath,2.4154531955718994,0.01345349422414476,0.0033565968329504715
BsmtExposure_Gd,2.3987514972686768,0.013360469775537046,0.0033333875785826928
Neighborhood_IDOTRR,1.8065087795257568,0.010061820065804347,0.0025103867295667836
GarageCond_TA,1.7812321186065674,0.009921035134717546,0.002475261412237326
Condition1_Norm,1.5825937986373901,0.008814667395819417,0.002199226771229398
GarageFinish_Unf,1.49981689453125,0.008353619918962442,0.002084197138416194
HeatingQC_TA,1.3716784715652466,0.007639919675701889,0.0019061315789197623
BsmtExposure_No,1.2664828300476074,0.007054005215360762,0.0017599480975732324
MSZoning_RL,1.2158498764038086,0.006771991823154686,0.0016895868038188057
PavedDrive_Y,1.1837916374206543,0.0065934351308591,0.0016450375723793004
BsmtFinType1_GLQ,1.1296613216400146,0.006291942271448284,0.001569816223918071
Neighborhood_Edwards,1.0134875774383545,0.00564488241556718,0.0014083771935223843
Exterior1st_BrkFace,0.9952744245529175,0.00554343952791492,0.0013830675698851412
Electrical_SBrkr,0.9694657325744629,0.005399691311596176,0.001347202923898091
Neighborhood_OldTown,0.8291807174682617,0.0046183374671394705,0.0011522580422174528
HouseStyle_1Story,0.794116199016571,0.0044230365201672625,0.0011035311814363597
BldgType_Duplex,0.7724241018295288,0.004302216748229449,0.0010733870971495845
ExterCond_TA,0.6647355556488037,0.0037024174075902254,0.0009237393897471321
KitchenQual_Gd,0.5885452032089233,0.0032780554417427394,0.0008178626556543682
BsmtQual_TA,0.5859257578849792,0.003263465760352618,0.0008142225843441245
SaleType_New,0.5804958343505859,0.0032332223902714137,0.0008066769758545374
BsmtCond_TA,0.564655065536499,0.0031449931121645064,0.0007846640987139908
Neighborhood_NAmes,0.5530375838279724,0.003080286529005993,0.0007685200465828264
LotShape_Reg,0.5318665504455566,0.0029623689573255907,0.0007391000504794118
Foundation_CBlock,0.5291548371315002,0.002947265365388858,0.000735331760396823
Exterior1st_WdSdng,0.5234988331794739,0.0029157627816750347,0.0007274719827835241
HouseStyle_2Story,0.5174029469490051,0.0028818101593087635,0.0007190009296276491
SaleCondition_Partial,0.4961967170238495,0.00276369655133781,0.000689532023197962
BsmtFinType2_BLQ,0.4828980267047882,0.002689626039963724,0.0006710517057613903
BsmtFinType2_Unf,0.4670427739620209,0.002601316089852407,0.0006490187012554175
BsmtQual_Gd,0.46264398097991943,0.0025768158693197135,0.0006429059872439872
SaleCondition_Family,0.45780840516090393,0.0025498828732795496,0.0006361863047805246
Neighborhood_BrkSide,0.444613516330719,0.0024763905112704008,0.0006178502334628413
GarageFinish_RFn,0.4397014081478119,0.0024490312483427383,0.0006110241989944101
FireplaceQu_Gd,0.4389393925666809,0.0024447870045551756,0.0006099652759355936
Neighborhood_NridgHt,0.4194467067718506,0.0023362174258795983,0.0005828775693616996
BsmtFinType1_Rec,0.4123993217945099,0.002296965183997292,0.0005730842808231801
MasVnrType_BrkFace,0.40469565987586975,0.0022540576371579708,0.0005623790072763225
BsmtFinType1_Unf,0.4011005163192749,0.002234033550927574,0.0005573830721457262
SaleType_WD,0.3960292935371399,0.002205788057893853,0.0005503359265579309
RoofStyle_Gable,0.39410337805747986,0.0021950611711840226,0.0005476596081712164
LotConfig_CulDSac,0.372228741645813,0.002073224699602155,0.000517261861100005
GarageType_Detchd,0.34995344281196594,0.0019491566345485058,0.0004863073397473305
Neighborhood_Mitchel,0.33957695960998535,0.0018913621150435528,0.0004718878218213434
FireplaceQu_TA,0.3190228343009949,0.001776880573180607,0.0004433251023934931
Neighborhood_ClearCr,0.3013373911380768,0.0016783769019523905,0.00041874880233568084
BsmtFinType1_BLQ,0.29988154768943787,0.0016702682035667506,0.0004167257122100135
LotConfig_Inside,0.2875429093837738,0.0016015449513491643,0.00039957951606941415
Neighborhood_Sawyer,0.27493709325790405,0.0015313335828362397,0.00038206204044106436
Exterior2nd_Plywood,0.2707148790359497,0.0015078168635918763,0.0003761947063476397
KitchenQual_Fa,0.2649168074131012,0.001475522997069366,0.00036813750661296825
Exterior1st_VinylSd,0.2633497416973114,0.0014667948173659121,0.00036595985819970646
LandContour_Lvl,0.25663918256759644,0.0014294186145655816,0.00035663463444317864
FireplaceQu_Po,0.2545115053653717,0.0014175679635144865,0.0003536779410277893
ExterQual_Gd,0.25389811396598816,0.0014141515207269073,0.00035282555124341915
Neighborhood_StoneBr,0.24276290833950043,0.0013521310995259295,0.0003373516865423184
GarageCond_Fa,0.22550959885120392,0.001256034309087719,0.00031337589430072263
Exterior2nd_WdSdng,0.21807464957237244,0.001214623427120335,0.0003030440330797213
GarageQual_TA,0.21281811594963074,0.0011853457972071481,0.00029573937317459945
Exterior1st_MetalSd,0.21128053963184357,0.00117678186636864,0.0002936027042430029
Foundation_PConc,0.20032085478305817,0.0011157390537478511,0.0002783727492511165
Neighborhood_CollgCr,0.18802708387374878,0.0010472657021529787,0.0002612889023875732
LotConfig_FR2,0.18514880537986755,0.0010312343821655332,0.0002572891476025819
MasVnrType_None,0.17454028129577637,0.0009721474506722364,0.00024254717768645265
ExterCond_Gd,0.17011450231075287,0.0009474969245840017,0.00023639696299725794
Condition2_Norm,0.15973299741744995,0.0008896744354643512,0.00022197046675630306
Exterior2nd_Stucco,0.15897250175476074,0.0008854386572574984,0.00022091365582842633
Neighborhood_Somerst,0.15872393548488617,0.0008840542028279092,0.0002205682395911054
Condition1_Feedr,0.15663599967956543,0.0008724249018136055,0.00021766677218764194
BsmtFinType1_LwQ,0.15066590905189514,0.0008391729307448941,0.00020937052892778412
Exterior2nd_VinylSd,0.13830628991127014,0.0007703328203151586,0.0001921951770973491
Exterior1st_HdBoard,0.13750441372394562,0.0007658665625236903,0.00019108086236927814
Exterior1st_Plywood,0.1272556036710739,0.0007087831517983502,0.0001768387634422339
MSZoning_FV,0.12623560428619385,0.0007031020001791543,0.00017542133721713612
GarageQual_Fa,0.11365319788455963,0.0006330210182083367,0.0001579363925466924
GarageType_Basment,0.11062160134315491,0.0006161357535157749,0.00015372358172994073
HouseStyle_SLvl,0.10871453583240509,0.0006055138566059225,0.000151073457908313
