Model Name,ntrees_default,ntrees_actual,max_depth_default,max_depth_actual,min_rows_default,min_rows_actual,min_sum_hessian_in_leaf_default,min_sum_hessian_in_leaf_actual,sample_rate_default,sample_rate_actual,col_sample_rate_default,col_sample_rate_actual,col_sample_rate_per_tree_default,col_sample_rate_per_tree_actual,booster_default,booster_actual,reg_lambda_default,reg_lambda_actual,reg_alpha_default,reg_alpha_actual
XGBoost_2_AutoML_20190426_123333,50,147,6,5,1.0,3.0,100.0,100.0,1.0,0.8,1.0,0.8,1.0,0.8,gbtree,gbtree,1.0,1.0,0.0,0.0
XGBoost_1_AutoML_20190426_123333,50,147,6,5,1.0,3.0,100.0,100.0,1.0,0.8,1.0,0.8,1.0,0.8,gbtree,gbtree,1.0,1.0,0.0,0.0
XGBoost_grid_1_AutoML_20190426_123333_model_15,50,170,6,5,1.0,0.1,100.0,100.0,1.0,1.0,1.0,0.8,1.0,0.7,gbtree,gbtree,1.0,0.01,0.0,0.1
XGBoost_grid_1_AutoML_20190426_123333_model_5,50,201,6,10,1.0,3.0,100.0,100.0,1.0,0.8,1.0,0.8,1.0,0.7,gbtree,gbtree,1.0,10.0,0.0,0.1
XGBoost_3_AutoML_20190426_123333,50,147,6,5,1.0,3.0,100.0,100.0,1.0,0.8,1.0,0.8,1.0,0.8,gbtree,gbtree,1.0,1.0,0.0,0.0
XGBoost_grid_1_AutoML_20190426_123333_model_11,50,220,6,10,1.0,1.0,100.0,100.0,1.0,0.6,1.0,1.0,1.0,1.0,gbtree,gbtree,1.0,10.0,0.0,1.0
XGBoost_grid_1_AutoML_20190426_123333_model_8,50,304,6,5,1.0,20.0,100.0,100.0,1.0,0.6,1.0,1.0,1.0,0.9,gbtree,gbtree,1.0,100.0,0.0,1.0
XGBoost_grid_1_AutoML_20190426_123333_model_13,50,185,6,15,1.0,3.0,100.0,100.0,1.0,1.0,1.0,1.0,1.0,0.9,gbtree,gbtree,1.0,10.0,0.0,0.001
XGBoost_grid_1_AutoML_20190426_123333_model_14,50,279,6,5,1.0,0.1,100.0,100.0,1.0,0.8,1.0,0.8,1.0,0.8,gbtree,gbtree,1.0,100.0,0.0,1.0
XGBoost_grid_1_AutoML_20190426_123333_model_12,50,250,6,15,1.0,3.0,100.0,100.0,1.0,1.0,1.0,0.8,1.0,1.0,gbtree,gbtree,1.0,100.0,0.0,1.0
XGBoost_grid_1_AutoML_20190426_123333_model_9,50,256,6,20,1.0,1.0,100.0,100.0,1.0,1.0,1.0,0.6,1.0,1.0,gbtree,gbtree,1.0,100.0,0.0,0.001
XGBoost_grid_1_AutoML_20190426_123333_model_17,50,113,6,15,1.0,15.0,100.0,100.0,1.0,0.8,1.0,1.0,1.0,0.8,gbtree,gbtree,1.0,0.01,0.0,0.5
XGBoost_grid_1_AutoML_20190426_123333_model_1,50,97,6,20,1.0,3.0,100.0,100.0,1.0,0.6,1.0,1.0,1.0,0.7,gbtree,dart,1.0,1.0,0.0,0.001
XGBoost_grid_1_AutoML_20190426_123333_model_6,50,92,6,10,1.0,1.0,100.0,100.0,1.0,1.0,1.0,0.8,1.0,1.0,gbtree,dart,1.0,100.0,0.0,0.001
XGBoost_grid_1_AutoML_20190426_123333_model_10,50,86,6,20,1.0,3.0,100.0,100.0,1.0,0.8,1.0,0.8,1.0,0.8,gbtree,dart,1.0,100.0,0.0,0.001
XGBoost_grid_1_AutoML_20190426_123333_model_18,50,17,6,10,1.0,1.0,100.0,100.0,1.0,0.8,1.0,0.6,1.0,0.7,gbtree,gbtree,1.0,0.1,0.0,0.01
XGBoost_grid_1_AutoML_20190426_123333_model_16,50,62,6,15,1.0,10.0,100.0,100.0,1.0,1.0,1.0,0.8,1.0,0.9,gbtree,dart,1.0,0.001,0.0,0.1
XGBoost_grid_1_AutoML_20190426_123333_model_2,50,109,6,20,1.0,0.01,100.0,100.0,1.0,0.8,1.0,0.8,1.0,0.9,gbtree,dart,1.0,100.0,0.0,0.001
XGBoost_grid_1_AutoML_20190426_123333_model_3,50,80,6,5,1.0,0.01,100.0,100.0,1.0,1.0,1.0,0.6,1.0,0.8,gbtree,dart,1.0,10.0,0.0,0.001
XGBoost_grid_1_AutoML_20190426_123333_model_4,50,103,6,15,1.0,5.0,100.0,100.0,1.0,0.6,1.0,0.8,1.0,0.9,gbtree,dart,1.0,0.1,0.0,0.5
XGBoost_grid_1_AutoML_20190426_123333_model_7,50,94,6,20,1.0,5.0,100.0,100.0,1.0,0.8,1.0,0.8,1.0,0.7,gbtree,dart,1.0,0.01,0.0,0.1
