variable,relative_importance,scaled_importance,percentage
OverallQual,194.09750366210938,1.0,0.2538197201382524
GrLivArea,142.20103454589844,0.7326268079853627,0.18595513136862593
TotalBsmtSF,82.42134857177734,0.42463889033451374,0.10778172430452432
GarageArea,42.932579040527344,0.22119078417033963,0.05614258293527619
YearBuilt,42.24983215332031,0.21767323822397047,0.05524976040759532
BsmtFinSF1,30.267303466796875,0.15593865400498444,0.03958030551828092
Fireplaces,28.283443450927734,0.14571770845731422,0.03698602797982295
YearRemodAdd,27.537109375,0.14187255814962674,0.036010053004836194
1stFlrSF,24.068065643310547,0.12399987217356974,0.03147361285227454
LotArea,22.76172637939453,0.1172695472633116,0.02976532366711331
GarageCars,18.000253677368164,0.09273820290189581,0.02353878470668366
CentralAir_Y,14.208674430847168,0.0732037978993385,0.018580567495867284
GarageYrBlt,11.158595085144043,0.057489637293683345,0.014592003648732343
LotFrontage,7.776278972625732,0.040063776328431853,0.010168976495364112
MasVnrArea,5.896275997161865,0.030377907422376102,0.007710511960333242
SaleCondition_Normal,4.589221000671387,0.023643895022269,0.006001286817530536
Functional_Typ,3.07370924949646,0.015835903046168297,0.004019464479314935
TotRmsAbvGrd,2.9481217861175537,0.015188870183769755,0.003855234779260685
MSZoning_RM,2.900709629058838,0.014944600390680338,0.0037932342887405
ExterCond_Fa,2.8508265018463135,0.014687600036366856,0.0037280025307332206
Neighborhood_Crawfor,2.813936471939087,0.014497540766096972,0.003679761739943638
KitchenQual_TA,2.553419589996338,0.013155344823194665,0.0033390859413454767
BsmtExposure_Gd,2.4535255432128906,0.012640685721976413,0.003208455312307656
HeatingQC_TA,2.226200819015503,0.011469497427905815,0.0029111846272774594
GarageType_Attchd,1.9483340978622437,0.010037914249809007,0.0025478205856582976
FullBath,1.7883477210998535,0.009213656473465325,0.0023386077075449657
Neighborhood_IDOTRR,1.716321349143982,0.008842573020062146,0.0022444194092542348
Neighborhood_Edwards,1.6227943897247314,0.0083607174698637,0.002122114968355802
Neighborhood_OldTown,1.5722497701644897,0.008100309074049237,0.0020560181822085236
GarageFinish_Unf,1.533389687538147,0.00790009999411181,0.0020052011695696685
LotShape_Reg,1.4777013063430786,0.00761319068232585,0.0019323779283470979
Condition1_Norm,1.3261126279830933,0.006832198266143747,0.001734146651841659
PavedDrive_Y,1.3238232135772705,0.0068204030891701765,0.0017311528033232462
MSZoning_RL,1.2921725511550903,0.006657337300970867,0.001689763490598374
SaleCondition_Partial,1.2282509803771973,0.006328010186650172,0.001606173774607557
BldgType_Duplex,1.112359642982483,0.005730932247943339,0.0014546236193042638
BsmtFinType1_Unf,1.0479657649993896,0.005399171783392533,0.0013704162710390414
ExterCond_TA,0.9571268558502197,0.004931165201982269,0.0012516269715226282
BsmtExposure_No,0.8390913009643555,0.0043230401480333835,0.0010972728405202624
Electrical_SBrkr,0.7989223599433899,0.004116087764498905,0.001044744244449597
GarageQual_TA,0.7474420666694641,0.003850858731138723,0.0009774238854295763
Foundation_CBlock,0.7223890423774719,0.003721784302981186,0.0009446622501976253
HouseStyle_1Story,0.6964135766029358,0.0035879574103913924,0.000910694345773512
Exterior1st_BrkFace,0.6787857413291931,0.0034971379256419663,0.0008876425695713123
GarageType_Detchd,0.6620432138442993,0.003410879590686563,0.0008657485031333403
SaleType_New,0.651168704032898,0.0033548535748634434,0.0008515279954766547
BsmtQual_Gd,0.6284355521202087,0.0032377312446748813,0.0008218000384062539
Exterior1st_WdSdng,0.6143733859062195,0.003165282264401188,0.0008034110585088834
Neighborhood_BrkSide,0.6122904419898987,0.003154550833666526,0.0008006872097631283
LandContour_Lvl,0.58050137758255,0.00299077199155072,0.0007591169098927275
KitchenQual_Gd,0.5789346098899841,0.0029826999264133272,0.0007570680605786166
HouseStyle_2Story,0.5424768924713135,0.0027948679516026807,0.0007093926012991631
BsmtQual_TA,0.5285627245903015,0.00272318146610705,0.0006911971576129672
BsmtFinType2_BLQ,0.5076705813407898,0.0026155441041867166,0.0006638766725339284
Neighborhood_NridgHt,0.4838474690914154,0.0024928062440911724,0.0006327233832341093
FireplaceQu_Gd,0.4484826624393463,0.002310604999949294,0.0005864771144371764
BsmtFinType1_Rec,0.44343915581703186,0.0022846206027924178,0.0005798817620228569
Neighborhood_StoneBr,0.4398221969604492,0.0022659858507304894,0.0005751518944696525
