Model Name,ntrees_default,ntrees_actual,max_depth_default,max_depth_actual,min_rows_default,min_rows_actual,min_sum_hessian_in_leaf_default,min_sum_hessian_in_leaf_actual,sample_rate_default,sample_rate_actual,col_sample_rate_default,col_sample_rate_actual,col_sample_rate_per_tree_default,col_sample_rate_per_tree_actual,booster_default,booster_actual,reg_lambda_default,reg_lambda_actual,reg_alpha_default,reg_alpha_actual
XGBoost_grid_1_AutoML_20190422_215025_model_10,50,180,6,20,1.0,10.0,100.0,100.0,1.0,0.6,1.0,1.0,1.0,0.9,gbtree,gbtree,1.0,0.001,0.0,0.5
XGBoost_2_AutoML_20190422_215025,50,150,6,5,1.0,3.0,100.0,100.0,1.0,0.8,1.0,0.8,1.0,0.8,gbtree,gbtree,1.0,1.0,0.0,0.0
XGBoost_2_AutoML_20190422_220207,50,148,6,5,1.0,3.0,100.0,100.0,1.0,0.8,1.0,0.8,1.0,0.8,gbtree,gbtree,1.0,1.0,0.0,0.0
XGBoost_grid_1_AutoML_20190422_220207_model_10,50,203,6,20,1.0,5.0,100.0,100.0,1.0,0.8,1.0,0.6,1.0,0.7,gbtree,gbtree,1.0,10.0,0.0,0.5
XGBoost_1_AutoML_20190422_220207,50,148,6,5,1.0,3.0,100.0,100.0,1.0,0.8,1.0,0.8,1.0,0.8,gbtree,gbtree,1.0,1.0,0.0,0.0
XGBoost_grid_1_AutoML_20190422_220207_model_1,50,166,6,15,1.0,15.0,100.0,100.0,1.0,1.0,1.0,1.0,1.0,0.7,gbtree,gbtree,1.0,1.0,0.0,0.001
XGBoost_grid_1_AutoML_20190422_215025_model_18,50,162,6,20,1.0,0.01,100.0,100.0,1.0,0.6,1.0,0.6,1.0,0.7,gbtree,gbtree,1.0,0.01,0.0,0.1
XGBoost_1_AutoML_20190422_215025,50,150,6,5,1.0,3.0,100.0,100.0,1.0,0.8,1.0,0.8,1.0,0.8,gbtree,gbtree,1.0,1.0,0.0,0.0
XGBoost_grid_1_AutoML_20190422_220207_model_12,50,161,6,10,1.0,10.0,100.0,100.0,1.0,0.8,1.0,0.8,1.0,1.0,gbtree,gbtree,1.0,0.01,0.0,0.001
XGBoost_grid_1_AutoML_20190422_220207_model_6,50,160,6,20,1.0,20.0,100.0,100.0,1.0,1.0,1.0,0.8,1.0,0.8,gbtree,gbtree,1.0,0.01,0.0,0.001
