variable,relative_importance,scaled_importance,percentage
OverallQual,189.05262756347656,1.0,0.22991740683606182
GrLivArea,177.48464965820312,0.9388108059942761,0.21584894602387708
TotalBsmtSF,102.346435546875,0.541364787498185,0.12446918809393835
YearRemodAdd,40.78825378417969,0.2157507901892798,0.04960486220315046
YearBuilt,40.05915451049805,0.21189419595370465,0.04871816405728812
GarageCars,33.3713264465332,0.17651871268135855,0.04058472467773782
BsmtFinSF1,30.224773406982422,0.1598749184103993,0.03675802665904597
LotArea,23.747209548950195,0.1256116344692263,0.028880301265603793
GarageArea,18.00442123413086,0.0952349695752611,0.021896177244855278
Fireplaces,17.226177215576172,0.09111842261907885,0.02094971144357097
1stFlrSF,13.506077766418457,0.07144083602796601,0.016425491761750247
CentralAir_Y,12.575427055358887,0.06651812893283668,0.015293675711824625
FireplaceQu_None,12.299466133117676,0.06505842469175939,0.014958064297968534
GarageType_Attchd,10.887860298156738,0.05759168988276037,0.013241331993150923
LotFrontage,9.500706672668457,0.05025429582817349,0.011554337379185969
GarageYrBlt,8.705535888671875,0.046048214197651885,0.010587285997755646
MSZoning_RM,4.294773578643799,0.022717344022112465,0.005223112827766809
MasVnrArea,4.2523603439331055,0.022492997842652716,0.0051715317359518455
MSZoning_RL,3.4981420040130615,0.01850353549219262,0.00425428489766396
BsmtExposure_Gd,3.338128089904785,0.01765713670805221,0.0040596830840652015
SaleCondition_Normal,3.1531260013580322,0.016678562165444298,0.0038346917628330054
Neighborhood_Crawfor,2.9529385566711426,0.015619664189431379,0.00359123268608416
KitchenQual_TA,2.607717990875244,0.013793608819320288,0.003171390770649153
GarageCond_TA,2.41512393951416,0.012774876343378275,0.0029371664415208847
TotRmsAbvGrd,2.3079464435577393,0.012207957505286828,0.002806821932380386
Functional_Typ,1.7400542497634888,0.009204073342906837,0.0021161766753300627
SaleCondition_Family,1.6746704578399658,0.008858223656678224,0.0020366598123173147
Neighborhood_IDOTRR,1.5916002988815308,0.00841882135886809,0.0019356335754470017
FullBath,1.5266164541244507,0.008075087206137201,0.0018566031104101247
GarageQual_TA,1.475077509880066,0.007802470290368178,0.0017939237360768657
Condition1_Norm,1.4473984241485596,0.007656060869413619,0.0017602616616746243
Neighborhood_Edwards,1.4027761220932007,0.007420029756646481,0.0017059940002945736
PavedDrive_Y,1.364925503730774,0.007219817684218564,0.0016599617597846733
BsmtExposure_No,1.276771068572998,0.006753521942689253,0.0015527522520735555
ExterCond_Fa,1.2677782773971558,0.006705954282341222,0.0015418156189570776
GarageFinish_Unf,1.203071117401123,0.0063636836626202314,0.0014631216456346557
Neighborhood_OldTown,1.1855933666229248,0.006271234533489086,0.0014418659816005704
Functional_Maj2,1.1136153936386108,0.005890504712846172,0.001354329568533193
BldgType_Duplex,1.07349693775177,0.005678296840340562,0.0013055392847765054
Exterior1st_WdSdng,0.978119969367981,0.005173797275256416,0.0011895460530224374
LandContour_Lvl,0.9627536535263062,0.0050925166496458805,0.0011708582223560506
Neighborhood_NAmes,0.88517165184021,0.004682144137578853,0.0010765064385447989
HeatingQC_TA,0.832605242729187,0.004404092413101375,0.0010125775070866422
Condition1_Feedr,0.8230693936347961,0.004353652230294664,0.001000980431055386
FireplaceQu_Po,0.7679445147514343,0.004062067397045769,0.0009339400023220746
LotShape_Reg,0.7346710562705994,0.003886066360140513,0.0008934743003163602
Functional_Mod,0.7284359931945801,0.003853085791944359,0.0008858914936007207
Neighborhood_Sawyer,0.6827030777931213,0.0036111800538921155,0.0008302731536089852
Neighborhood_Mitchel,0.654839038848877,0.0034637923169251236,0.0007963861473260989
SaleType_New,0.6377301812171936,0.0033732944600469435,0.0007755791147484466
BsmtCond_TA,0.6029519438743591,0.003189333846586772,0.0007332833675417129
HeatingQC_Fa,0.5880936980247498,0.0031107406736639543,0.0007152134290282805
ExterCond_TA,0.5867024064064026,0.0031033813915620433,0.000713521401971234
HeatingQC_Gd,0.5866559743881226,0.0031031357878966593,0.0007134649334133795
