variable,relative_importance,scaled_importance,percentage
OverallQual,180.46910095214844,1.0,0.2326223501509003
GrLivArea,160.450927734375,0.8890770048049318,0.20681918232284652
TotalBsmtSF,79.376708984375,0.4398354541890349,0.10231555703314195
GarageArea,34.66901779174805,0.19210500639076478,0.04468791806237342
YearBuilt,33.723331451416016,0.1868648498468322,0.0434689405319652
Fireplaces,28.705154418945312,0.1590585549963842,0.03700057487486511
LotArea,27.419960021972656,0.15193714534679864,0.03534397582579123
BsmtFinSF1,26.3917236328125,0.1462395695084129,0.034018592344102955
YearRemodAdd,24.70201873779297,0.1368767207653056,0.031840584465373925
GarageCars,20.152114868164062,0.1116651812517613,0.025975816892810963
1stFlrSF,17.912010192871094,0.09925250415926037,0.023088350775889156
CentralAir_Y,17.855031967163086,0.09893678127147852,0.02301490657573691
ExterQual_TA,12.203363418579102,0.06762023722728489,0.015729978501572407
GarageYrBlt,11.953088760375977,0.0662334366232885,0.015407377685880078
LotFrontage,7.429332256317139,0.04116678266318306,0.009576313731260982
GarageType_Attchd,7.1392974853515625,0.039559666711281256,0.009202462641564583
FireplaceQu_None,4.957087516784668,0.027467790833063686,0.00638962205704063
MasVnrArea,4.449248313903809,0.02465379552748773,0.00573502385574395
SaleCondition_Normal,4.019513130187988,0.022272583555751,0.005181100730671093
TotRmsAbvGrd,3.972440242767334,0.022011747284210334,0.005120424384180705
Functional_Typ,3.8541014194488525,0.021356018282990014,0.004967887162854731
ExterCond_Fa,3.703169822692871,0.02051968898362701,0.004773338275736854
FullBath,3.4018800258636475,0.01885020764172621,0.004384979602450811
MSZoning_RM,3.3532073497772217,0.018580506757587982,0.0043222411489448
Neighborhood_IDOTRR,3.311739444732666,0.018350728336651807,0.004268789552652665
KitchenQual_TA,2.916574001312256,0.016161071263305005,0.0037594263782261893
Neighborhood_Crawfor,2.6589860916137695,0.014733747093463952,0.0034273988754105807
Condition1_Norm,2.341344118118286,0.012973656463989899,0.003017962456703749
GarageCond_TA,2.248051166534424,0.012456709512452754,0.002897709041933835
HeatingQC_TA,2.236907958984375,0.0123949637205623,0.002883345590712349
GarageFinish_Unf,1.9283921718597412,0.010685442337140342,0.002485672708867515
BsmtExposure_Gd,1.8994853496551514,0.010525266317799199,0.0024484121868105623
MSZoning_RL,1.725260615348816,0.009559867070021424,0.002223838744958585
BsmtExposure_No,1.5531284809112549,0.00860606315827477,0.0020019626374249565
Neighborhood_Edwards,1.3729530572891235,0.0076076904580644165,0.0017697188335755237
Neighborhood_OldTown,1.2220916748046875,0.006771750224038221,0.0015752604517506566
BsmtFinType1_Unf,1.2117328643798828,0.006714350866640462,0.0015619080783356382
BldgType_Duplex,1.083969235420227,0.006006397935719991,0.0013972224037487005
HouseStyle_1Story,0.9199740290641785,0.005097681676311506,0.0011858346918647636
PavedDrive_Y,0.9149920344352722,0.0050700758723117,0.0011794129648605234
LotShape_Reg,0.8742831349372864,0.00484450318821671,0.0011269397169565002
BsmtQual_Gd,0.8397259712219238,0.004653017978100185,0.0010823959773600552
Foundation_CBlock,0.8245803117752075,0.004569094140906956,0.0010628734171184851
ExterCond_TA,0.7806497812271118,0.004325670029431254,0.0010062475282236122
Exterior1st_BrkFace,0.7777780294418335,0.004309757323211036,0.0010025458771054045
SaleType_New,0.7314911484718323,0.004053276403619853,0.0009428826828212391
Electrical_SBrkr,0.719515323638916,0.0039869169838093015,0.0009274459986302586
BsmtQual_TA,0.6898773908615112,0.0038226897968779315,0.000889243084447612
BsmtFinType1_Rec,0.6622610688209534,0.0036696645870505696,0.0008536460005052366
Neighborhood_NAmes,0.6476747989654541,0.003588840391780894,0.0008348444862525494
BsmtFinType1_GLQ,0.6116189956665039,0.003389051047739609,0.0007883690195065588
BsmtCond_TA,0.6094910502433777,0.003377259857935375,0.0007856261252232226
Exterior1st_WdSdng,0.56573885679245,0.003134823932782023,0.0007292301105530422
FireplaceQu_Gd,0.5604140162467957,0.003105318380210638,0.0007223664595713855
HouseStyle_2Story,0.5129721164703369,0.002842437368856578,0.0006612144609001586
SaleCondition_Partial,0.5055509209632874,0.002801315672854904,0.0006516486353340584
BsmtFinType2_Unf,0.4812127351760864,0.002666454992224295,0.000620277026862816
Exterior2nd_WdSdng,0.4129931926727295,0.0022884426779642185,0.0005323429139336564
RoofStyle_Gable,0.41145679354667664,0.002279929314081167,0.0005303625152194911
Neighborhood_BrkSide,0.40862441062927246,0.002264234755276027,0.0005267116100656581
GarageType_Detchd,0.40315142273902893,0.002233908301266071,0.0005196569990621188
GarageQual_TA,0.4022064805030823,0.0022286722678899347,0.0005184389806726935
GarageFinish_RFn,0.39593303203582764,0.0021939103699575124,0.0005103525862799477
LandContour_Lvl,0.3928735852241516,0.002176957624055114,0.0005064089986866208
ExterQual_Gd,0.37581372261047363,0.0020824269674292943,0.00048441905518101474
Foundation_PConc,0.3699253499507904,0.0020497988187400374,0.00047682901855184676
Exterior1st_HdBoard,0.3663283884525299,0.0020298676422711402,0.00047219258144037954
KitchenQual_Gd,0.3038257956504822,0.0016835336024145313,0.00039162754315167963
SaleType_WD,0.29573631286621094,0.0016387088499134582,0.00038120030387994757
Condition1_Feedr,0.2919892370700836,0.0016179458728921405,0.0003763703713691195
Exterior1st_MetalSd,0.2906205356121063,0.0016103617410337997,0.000374606132792378
BsmtFinType1_BLQ,0.27463388442993164,0.0015217778721175715,0.0003539995450196257
BsmtFinType2_BLQ,0.2742663025856018,0.0015197410589324308,0.0003535257367496799
MasVnrType_BrkFace,0.2721259891986847,0.0015078813368214162,0.0003507669003200791
RoofMatl_CompShg,0.2672126889228821,0.001480656176115898,0.0003444337194535255
Exterior1st_VinylSd,0.2596067488193512,0.001438510789102818,0.00033462976047852366
SaleCondition_Family,0.2509671151638031,0.0013906375874856677,0.0003234933838090942
Neighborhood_NridgHt,0.24530109763145447,0.001359241534075666,0.00031618996007939644
Exterior2nd_VinylSd,0.2375623881816864,0.0013163604568777471,0.0003062148631246144
Condition2_Norm,0.2355639934539795,0.0013052871223447804,0.00030363895802154855
FireplaceQu_Po,0.22871899604797363,0.0012673582061486454,0.00029481584439732705
LotConfig_Inside,0.21831892430782318,0.0012097302150671802,0.0002814102856774815
Neighborhood_ClearCr,0.21513968706130981,0.0011921136966175406,0.00027731228975424966
LotConfig_CulDSac,0.20775489509105682,0.0011511937167911267,0.0002677933878789018
FireplaceQu_TA,0.19612973928451538,0.0010867773943004204,0.0002528087115530354
Neighborhood_CollgCr,0.18600597977638245,0.0010306804810076718,0.00023975931574666499
Neighborhood_Mitchel,0.18247279524803162,0.0010111027000484392,0.00023520508632918872
Exterior2nd_WdShng,0.17808811366558075,0.0009868066761899645,0.000229553288159908
GarageCond_Fa,0.17065730690956116,0.0009456317231547084,0.00021997507381749378
BldgType_TwnhsE,0.16667340695858002,0.0009235564763121064,0.00021483987801680646
ExterCond_Gd,0.16441841423511505,0.0009110613028360504,0.0002119332213972631
GarageType_BuiltIn,0.15768729150295258,0.0008737633792765639,0.00020325689076310674
HeatingQC_Gd,0.15256249904632568,0.0008453663161250955,0.00019665109919542862
LandSlope_Mod,0.1514333039522171,0.0008391093165160156,0.00019519558124147122
LotConfig_FR2,0.14741277694702148,0.0008168311149624895,0.00019001317363895453
Exterior2nd_Plywood,0.1443740427494049,0.0007999931400316879,0.0001860962843387695
HouseStyle_SLvl,0.14208929240703583,0.0007873330761741365,0.00018315127053116544
Neighborhood_StoneBr,0.13788509368896484,0.0007640371285803946,0.00017773211245291699
MasVnrType_None,0.13164947926998138,0.0007294848734514856,0.00016969448566181666
Neighborhood_Somerst,0.12673509120941162,0.0007022536852057326,0.00016335990265468802
BsmtFinType1_LwQ,0.12380661070346832,0.0006860266386338112,0.00015958512894511957
Neighborhood_NWAmes,0.12195520102977753,0.0006757677651539588,0.00015719868568633556
RoofStyle_Hip,0.11581382900476456,0.0006417377179458145,0.00014928253612903094
HeatingQC_Fa,0.11309599876403809,0.0006266779086688397,0.00014577928790219673
Exterior2nd_HdBoard,0.1093880757689476,0.0006061318818114574,0.00014099982284836895
PavedDrive_P,0.0977879986166954,0.0005418545230223316,0.00012604747258534988
LandContour_HLS,0.09506990015506744,0.0005267932275025591,0.0001225438786252232
Neighborhood_SawyerW,0.09013009071350098,0.0004994211764672062,0.00011617652778492901
Neighborhood_Sawyer,0.08971861004829407,0.000497141114877516,0.00011564613449944649
Exterior2nd_MetalSd,0.08203712105751038,0.00045457710280976353,0.00010574479398039461
MSZoning_FV,0.07331579923629761,0.000406251257691683,9.450312231599831e-05
Exterior1st_Plywood,0.05924399942159653,0.0003282777999614745,7.636475332940532e-05
KitchenQual_Fa,0.058122601360082626,0.00032206400460483203,7.49192856501864e-05
Condition1_PosN,0.055765300989151,0.00030900193271277625,7.188075578881637e-05
BsmtCond_Gd,0.05525119602680206,0.0003061532181148948,7.1218081104148e-05
Neighborhood_NoRidge,0.05209727957844734,0.00028867700511380607,6.715272336409704e-05
BsmtQual_None,0.046588800847530365,0.0002581538922825544,6.005236512337017e-05
LotShape_IR2,0.04182640090584755,0.00023176488764654432,5.39136928467985e-05
Neighborhood_Timber,0.03488419950008392,0.00019329735293208727,4.496528451701016e-05
Exterior1st_CemntBd,0.03147419914603233,0.00017440214961993825,4.056983791595898e-05
Heating_GasA,0.030463600531220436,0.000168802306713424,3.926718929856978e-05
Functional_Min2,0.029908999800682068,0.0001657292004164883,3.855231608951307e-05
BldgType_2fmCon,0.027589300647377968,0.00015287548118662873,3.5562253714083315e-05
GarageType_Basment,0.024451300501823425,0.00013548746224599807,3.1517411883645446e-05
LandContour_Low,0.022545799612998962,0.00012492886313528545,2.9061245744210268e-05
BsmtFinType2_Rec,0.01523900032043457,8.444104968681152e-05,1.964287542735504e-05
Exterior2nd_BrkFace,0.014629200100898743,8.106207668634471e-05,1.8856850786890012e-05
BsmtQual_Fa,0.012673200108110905,7.022365624501679e-05,1.6335591951904752e-05
MasVnrType_Stone,0.012645579874515533,7.00706093608153e-05,1.6299989826018527e-05
BsmtExposure_Mn,0.012314599938690662,6.823661155133637e-05,1.5873360945405938e-05
