variable,relative_importance,scaled_importance,percentage
passenger_count,150082.234375,1.0,0.7472542634263858
store_and_fwd_flag_Y,10619.4228515625,0.07075736109464155,0.052873739746771176
trip_duration,8679.728515625,0.057833150950681936,0.04321606861527881
pickup_datetime,6008.7021484375,0.0400360653841545,0.02991712054912699
haversine_distance,5446.4306640625,0.03628964271982974,0.02711759024061308
dropoff_datetime,5019.7216796875,0.03344647486487356,0.024993020939360216
pickup_latitude,4126.1240234375,0.027492421342341172,0.020543829059979
pickup_longitude,4073.66064453125,0.027142857124266145,0.020282615707681126
dropoff_longitude,3535.223876953125,0.02355524550707253,0.017601757631215166
dropoff_latitude,3253.686767578125,0.021679359859797697,0.01619999408358868
