,model_id,mean_residual_deviance,rmse,mse,mae,rmsle
0,StackedEnsemble_BestOfFamily_AutoML_20190421_220819,0.018041609181750462,0.1343190574034469,0.018041609181750462,0.08801451199872938,0.01037631576644255
1,StackedEnsemble_AllModels_AutoML_20190421_220819,0.018191279441831267,0.13487505122086615,0.018191279441831267,0.08840338189724681,0.010427288018341259
2,XGBoost_2_AutoML_20190421_220819,0.01830105111378556,0.13528137755724384,0.01830105111378556,0.09181903943623583,0.0104719380717164
3,XGBoost_grid_1_AutoML_20190421_220819_model_13,0.018361946053255453,0.13550625835456992,0.018361946053255453,0.09206981071054117,0.010508291523180837
4,XGBoost_grid_1_AutoML_20190421_220819_model_8,0.018546584895546104,0.13618584689880994,0.018546584895546104,0.09331181147327162,0.010553455909803508
5,XGBoost_grid_1_AutoML_20190421_220819_model_5,0.01857358515001778,0.1362849410243765,0.01857358515001778,0.0910644145861064,0.010573840422355056
6,XGBoost_1_AutoML_20190421_220819,0.018639019814081743,0.13652479560168454,0.018639019814081743,0.09029464852320004,0.010563890341918084
7,XGBoost_grid_1_AutoML_20190421_220819_model_3,0.018939855147027628,0.13762214628114047,0.018939855147027628,0.09223060673230317,0.0106705767657734
8,XGBoost_grid_1_AutoML_20190421_220819_model_11,0.018955216288946284,0.1376779440903527,0.018955216288946284,0.0905250993493485,0.01066195851320422
9,XGBoost_grid_1_AutoML_20190421_220819_model_16,0.018956861548560036,0.13768391899041818,0.018956861548560036,0.09352168840904758,0.010646666400061658
10,GBM_2_AutoML_20190421_220819,0.019068603189950958,0.1380891132202353,0.019068603189950958,0.09251012905198938,0.010678971102143985
11,GBM_3_AutoML_20190421_220819,0.019311543366666187,0.13896597916996156,0.019311543366666187,0.09279038915551728,0.010751090725663666
12,GBM_4_AutoML_20190421_220819,0.0194714880894834,0.13954027407699685,0.0194714880894834,0.09305447636428242,0.010805260977486896
13,XGBoost_grid_1_AutoML_20190421_220819_model_10,0.01964768246039057,0.14017019105498346,0.01964768246039057,0.09553613728039884,0.010847439437268664
14,XGBoost_grid_1_AutoML_20190421_220819_model_6,0.019694107325875388,0.14033569512378305,0.019694107325875388,0.09477347021233544,0.010889178683622212
15,GBM_1_AutoML_20190421_220819,0.01984916811032484,0.14088707573913528,0.01984916811032484,0.09366244501544788,0.010912798100653721
16,XGBoost_3_AutoML_20190421_220819,0.0198600790481366,0.14092579270004696,0.0198600790481366,0.09487193381949646,0.01089558911405084
17,XGBoost_grid_1_AutoML_20190421_220819_model_7,0.019879779201779482,0.14099567086183706,0.019879779201779482,0.0922557380101452,0.010919561972006504
18,XGBoost_grid_1_AutoML_20190421_220819_model_2,0.020334018976491782,0.1425974017171834,0.020334018976491782,0.09807831947117636,0.011016098585973721
19,XGBoost_grid_1_AutoML_20190421_220819_model_4,0.020456679097866345,0.1430268474723062,0.020456679097866345,0.0938403991803731,0.011059931800750177
20,GBM_grid_1_AutoML_20190421_220819_model_3,0.021089610599025227,0.14522262426710664,0.021089610599025227,0.09647419715652114,0.011262435982606402
21,XGBoost_grid_1_AutoML_20190421_220819_model_15,0.0212529310770805,0.14578385053592358,0.0212529310770805,0.0985804603524404,0.011259274169272523
22,XRT_1_AutoML_20190421_220819,0.021372801596923324,0.14619439659892347,0.021372801596923324,0.096336271174464,0.011344071450413436
23,DRF_1_AutoML_20190421_220819,0.021977949504213258,0.14824961890073532,0.021977949504213258,0.09846650552096432,0.01149378371333658
24,XGBoost_grid_1_AutoML_20190421_220819_model_1,0.0220204925691726,0.1483930340992211,0.0220204925691726,0.09724203527790226,0.011480561477888314
25,GBM_grid_1_AutoML_20190421_220819_model_1,0.022847253296134767,0.1511530790163891,0.022847253296134767,0.10282595929100924,0.011730796046658635
26,GBM_5_AutoML_20190421_220819,0.023114201516021633,0.1520335539149882,0.023114201516021633,0.10320115111398101,0.011801900605659764
27,GLM_grid_1_AutoML_20190421_220819_model_1,0.023369637741687783,0.15287131104850174,0.023369637741687783,0.09831929958367563,0.011709417358595228
28,DeepLearning_grid_1_AutoML_20190421_220819_model_3,0.02638206282387289,0.16242556086981166,0.02638206282387289,0.1129326050898299,0.01259063933668357
29,GBM_grid_1_AutoML_20190421_220819_model_5,0.02917554037591325,0.1708084903507822,0.02917554037591325,0.12335670140870085,0.013199277290745413
30,DeepLearning_grid_1_AutoML_20190421_220819_model_4,0.031695583681984885,0.1780325354590696,0.031695583681984885,0.1320495929779519,0.01373523490291589
31,DeepLearning_1_AutoML_20190421_220819,0.03404029183203338,0.1845001133659093,0.03404029183203338,0.12328908057918425,0.014276137969225227
32,DeepLearning_grid_1_AutoML_20190421_220819_model_2,0.034717514830293894,0.18632636643882125,0.034717514830293894,0.1176189704595544,0.014109488449280132
33,GBM_grid_1_AutoML_20190421_220819_model_2,0.041959725545966914,0.2048407321456524,0.041959725545966914,0.1516786297076337,0.01582423909958731
34,DeepLearning_grid_1_AutoML_20190421_220819_model_1,0.05925179917417697,0.2434169245845017,0.05925179917417697,0.14480523810162665,0.01851680231967056
35,GBM_grid_1_AutoML_20190421_220819_model_6,0.0732462608114211,0.27064046410583376,0.0732462608114211,0.1986102486424373,0.02082477475020399
36,GBM_grid_1_AutoML_20190421_220819_model_9,0.1304849778648597,0.3612270447583621,0.1304849778648597,0.27825599967939313,0.0277392097576782
37,GBM_grid_1_AutoML_20190421_220819_model_8,0.1398957112996808,0.3740263510766064,0.1398957112996808,0.28834265520301416,0.02871801208184685
38,GBM_grid_1_AutoML_20190421_220819_model_4,0.15219212439377866,0.3901180903185325,0.15219212439377866,0.3019785167289575,0.029949124960719324
39,GBM_grid_1_AutoML_20190421_220819_model_7,0.15398885623814745,0.3924141386827792,0.15398885623814745,0.30392420664708936,0.030124737796956968
40,XGBoost_grid_1_AutoML_20190421_220819_model_12,31.673612576854985,5.627931465188164,31.673612576854985,3.068370116900091,1.0515811462588658
41,XGBoost_grid_1_AutoML_20190421_220819_model_14,76.41829082931592,8.741755591945815,76.41829082931592,6.822322722003884,1.637963770517386
42,XGBoost_grid_1_AutoML_20190421_220819_model_9,86.75535999145102,9.314255740071292,86.75535999145102,7.605107938426816,1.7446084266292314
