variable,relative_importance,scaled_importance,percentage
OverallQual,909.9296875,1.0,0.4201787377817836
GrLivArea,450.3675842285156,0.49494767608460477,0.2079664898052563
YearBuilt,160.84164428710938,0.1767627174897614,0.07427193552172595
TotalBsmtSF,94.16754150390625,0.10348881105597102,0.043483798004035394
GarageCars,89.38369750976562,0.0982314334147556,0.04127475970270733
CentralAir_Y,61.929046630859375,0.0680591560882108,0.028597010299637807
BsmtFinSF1,54.963314056396484,0.06040391341380043,0.025380440095290814
1stFlrSF,49.046268463134766,0.05390116306446455,0.02264812266139681
GarageArea,47.709564208984375,0.05243214378471894,0.022030871994656198
ExterQual_TA,38.50926208496094,0.042321140428733334,0.017782443366830783
LotArea,28.98956871032715,0.031859130555433324,0.01338652926360703
LotFrontage,18.678003311157227,0.020526864402539043,0.008624951975276681
GarageYrBlt,17.031856536865234,0.018717772121118133,0.007864809863938475
YearRemodAdd,14.8284330368042,0.01629624051232442,0.006847333769056841
Fireplaces,14.005365371704102,0.015391700660062376,0.006467265355660055
FireplaceQu_None,9.873933792114258,0.010851315137593263,0.004559491897786299
MSZoning_RM,6.73908805847168,0.007406163521257438,0.00311191244016744
ExterCond_Fa,5.447396278381348,0.005986612320945235,0.002515447208603643
GarageType_Detchd,5.148074626922607,0.005657662012398741,0.0023772292831656487
KitchenQual_TA,4.895695686340332,0.005380301086549978,0.002260688119432529
TotRmsAbvGrd,4.772719860076904,0.005245152373465015,0.0022039015037556564
MasVnrArea,4.266125679016113,0.004688412453864589,0.001969971227065218
FullBath,3.8651301860809326,0.004247724015577778,0.0017848033153108401
MSZoning_RL,3.630894899368286,0.0039903027115688935,0.0016766403567142463
GarageType_Attchd,3.537285804748535,0.003887427625827996,0.0016334144330384431
BsmtQual_Gd,3.139953374862671,0.003450764842599633,0.001449938015945269
Exterior1st_BrkComm,3.081509828567505,0.0033865362026310464,0.0014229505070738277
SaleCondition_Normal,2.9457876682281494,0.003237379446670872,0.001360278009622856
KitchenQual_Gd,2.5857479572296143,0.0028417008399120006,0.0011940222720676589
GarageFinish_Unf,2.2128961086273193,0.0024319418731211795,0.0010218502666067236
Neighborhood_IDOTRR,2.0357649326324463,0.002237277188115094,0.0009400563049701783
BsmtExposure_Gd,1.9195153713226318,0.002109520546138497,0.0008863756804012125
GarageQual_TA,1.8723140954971313,0.002057647004178146,0.0008645795210160417
Neighborhood_Crawfor,1.6829488277435303,0.0018495372234390696,0.000777136216025053
Electrical_SBrkr,1.5844415426254272,0.001741279094848114,0.0007316484521990872
PavedDrive_Y,1.4058037996292114,0.0015449587137788725,0.0006491588022805746
Neighborhood_OldTown,1.1488654613494873,0.0012625870736297823,0.0005305122429373579
Functional_Typ,1.1358152627944946,0.0012482450879420226,0.0005244860454937905
GarageCond_TA,1.12455153465271,0.0012358664082522419,0.0005192847874863335
FireplaceQu_Po,1.0554182529449463,0.0011598898985752087,0.0004873610735491722
Exterior2nd_BrkCmn,1.0459014177322388,0.0011494310297818905,0.00048296647926097047
LotShape_Reg,1.0137639045715332,0.0011141123523036314,0.00046812632193803366
Exterior1st_VinylSd,0.9525033831596375,0.001046787896080858,0.00043983801690050374
Neighborhood_Edwards,0.9314800500869751,0.0010236835470729436,0.0004301300606970885
FireplaceQu_Gd,0.9006713032722473,0.0009898251652243706,0.00041590348854862144
RoofStyle_Gambrel,0.8922646641731262,0.0009805863864323322,0.0004120215501371376
Condition1_Norm,0.7961265444755554,0.0008749319375026495,0.0003676277971448337
GarageFinish_RFn,0.7595447897911072,0.0008347291007483555,0.0003507354199421673
BsmtFinType1_GLQ,0.7492213845252991,0.000823383822747622,0.0003459683753520357
Neighborhood_Sawyer,0.7445164322853088,0.000818213146040813,0.000343795766939891
LandContour_Lvl,0.7415709495544434,0.0008149761017160387,0.00034243562974136364
BldgType_Duplex,0.7266358733177185,0.0007985626618185469,0.0003355390512825783
Exterior1st_BrkFace,0.6786320209503174,0.0007458070994637346,0.00031337228568136514
Exterior1st_WdSdng,0.6623981595039368,0.0007279663127860489,0.00030587596645410115
SaleType_New,0.6620894074440002,0.000727626998590482,0.0003057333938436964
BsmtFinType2_BLQ,0.6425076127052307,0.0007061068800497079,0.0002966910975983196
SaleType_WD,0.6257117390632629,0.0006876484498295512,0.000288935257686981
LandSlope_Mod,0.5856063961982727,0.0006435732389468529,0.0002704157912108229
SaleCondition_Family,0.5741948485374451,0.0006310321076730943,0.00026514627450185935
HeatingQC_Fa,0.5679261088371277,0.0006241428504190085,0.00026225155508458357
Neighborhood_ClearCr,0.5448915362358093,0.0005988281772989293,0.00025161486768563026
Exterior1st_Plywood,0.5291159152984619,0.0005814909905315754,0.0002443301504330365
BsmtExposure_No,0.5225439071655273,0.000574268445511651,0.00024129539058299248
Exterior1st_MetalSd,0.5220568776130676,0.0005737332068452461,0.00024107049467573047
BsmtFinType1_Unf,0.5186148285865784,0.0005699504431067135,0.00023948105778274717
Functional_Maj2,0.4573513865470886,0.000502622777155063,0.00021119140408538907
Foundation_CBlock,0.44918590784072876,0.0004936490302617242,0.00020742082644257279
BsmtQual_TA,0.4468930661678314,0.0004911292293316141,0.00020636205966829773
HeatingQC_TA,0.43448367714881897,0.00047749148436133313,0.0002006317692004952
BsmtQual_Fa,0.4297622740268707,0.00047230272836533947,0.00019845156425544094
Condition1_RRAe,0.42803582549095154,0.00047040538557101594,0.00019765434115498272
HouseStyle_2Story,0.4203791916370392,0.00046199085205365296,0.00019411873308263465
HouseStyle_1Story,0.4194193184375763,0.0004609359648325314,0.00019367549190156164
BsmtFinType1_Rec,0.3953791856765747,0.0004345161951610406,0.0001825744664285092
RoofStyle_Gable,0.39330407977104187,0.0004322356827939432,0.00018161624362060647
BsmtCond_TA,0.3745281994342804,0.00041160125290920393,0.00017294609491679
Exterior2nd_BrkFace,0.3399263918399811,0.00037357435031482153,0.00015696799898293158
Exterior2nd_VinylSd,0.3382689654827118,0.0003717528619294684,0.0001562026482922897
ExterQual_Gd,0.3299201726913452,0.00036257765542059556,0.00015234742160250432
HouseStyle_SLvl,0.318634957075119,0.0003501753612969343,0.00014713624131202589
ExterCond_Gd,0.3182373344898224,0.0003497383796369677,0.00014695263090970734
Functional_Mod,0.3101949989795685,0.0003408999653938299,0.00014323891716903317
KitchenQual_Fa,0.29973891377449036,0.00032940887399554196,0.0001384106048895654
Exterior2nd_WdShng,0.2983337640762329,0.0003278646341300222,0.000137761748132039
ExterCond_TA,0.2840614914894104,0.0003121796061735928,0.00013117123288323456
LandContour_HLS,0.282566636800766,0.00031053678177827995,0.00013048095300241487
Neighborhood_NAmes,0.269695907831192,0.0002963920306547774,0.00012453762932910408
Heating_Grav,0.2608134150505066,0.00028663029532213893,0.00012043595569847622
LotConfig_Inside,0.25974711775779724,0.0002854584495110203,0.00011994357100468552
SaleCondition_Alloca,0.25324204564094543,0.0002783094662365826,0.00011693972023600922
Neighborhood_StoneBr,0.25248852372169495,0.00027748135618632067,0.00011659176600034572
BsmtExposure_Mn,0.23957106471061707,0.0002632852494007863,0.0001106268637697845
Foundation_PConc,0.23891857266426086,0.0002625681697677996,0.00011032556215470713
Neighborhood_SWISU,0.235501229763031,0.00025881255771537955,0.0001087475338229232
ExterQual_Fa,0.22949382662773132,0.0002522105056911129,0.00010597349193659717
Condition1_Feedr,0.2226182073354721,0.0002446542962534917,0.00010279853339268268
MasVnrType_Stone,0.22029425203800201,0.000242100301885141,0.00010172539926268732
LotConfig_CulDSac,0.21656380593776703,0.00023800059379617397,0.00010000278909259138
GarageType_CarPort,0.20967957377433777,0.00023043491893359923,9.682385337836735e-05
Neighborhood_Somerst,0.20037497580051422,0.0002202092958973978,9.252726399798392e-05
Exterior2nd_WdSdng,0.19745846092700958,0.00021700408684270956,9.118050330305827e-05
Neighborhood_BrkSide,0.1637701392173767,0.000179981092459275,7.562422825412466e-05
LotConfig_FR2,0.16139346361160278,0.0001773691592094612,7.452674943804763e-05
RoofStyle_Hip,0.1573489010334015,0.00017292424150454097,7.265908952725034e-05
BsmtFinType1_LwQ,0.15159714221954346,0.0001666031390140169,7.000309666139265e-05
MSZoning_FV,0.1515098661184311,0.00016650722379956537,6.996279512765035e-05
Neighborhood_CollgCr,0.15145562589168549,0.00016644761454899282,6.993774858798464e-05
Electrical_FuseF,0.15021860599517822,0.00016508814698408026,6.936652922250442e-05
HouseStyle_2.5Unf,0.1486831158399582,0.0001634006647793412,6.865748507968793e-05
Exterior1st_HdBoard,0.14121577143669128,0.00015519415772077586,6.520928530222265e-05
Condition1_PosN,0.13069450855255127,0.00014363143696479434,6.035087588965111e-05
GarageQual_Fa,0.1269690990447998,0.00013953726402052334,5.863059146966699e-05
