variable,relative_importance,scaled_importance,percentage
OverallQual,165.91677856445312,1.0,0.23113146780809046
GrLivArea,143.2931671142578,0.8636448245563857,0.19961549596457817
TotalBsmtSF,64.89784240722656,0.3911469531215369,0.09040636940364316
GarageCars,33.56230163574219,0.20228395178673478,0.04675418669048901
YearRemodAdd,33.486671447753906,0.20182811972054684,0.046648829555957
YearBuilt,31.46834945678711,0.1896634549504751,0.043837192732256954
BsmtFinSF1,30.738609313964844,0.18526522501173032,0.04282062339075738
Fireplaces,25.33417320251465,0.15269205092885269,0.03529193785381342
GarageArea,23.046222686767578,0.13890230322796973,0.032104693227005106
LotArea,20.28142738342285,0.12223855573198822,0.028253176809075506
1stFlrSF,19.877975463867188,0.11980690341179243,0.027691145439109704
LotFrontage,11.733213424682617,0.0707174616467415,0.016345030710073705
GarageYrBlt,11.52402400970459,0.06945665236158073,0.016053618009368425
CentralAir_Y,7.273831367492676,0.04384023985052865,0.010132858985711427
GarageType_Attchd,7.061092853546143,0.04255803972714636,0.009836502189170364
FireplaceQu_None,6.5381059646606445,0.03940593604353769,0.009107951838094602
MasVnrArea,5.489265441894531,0.033084450466003563,0.007646857597831466
MSZoning_RL,4.5786566734313965,0.027596103980844475,0.006378328018877272
GarageCond_TA,4.085452556610107,0.024623504578369364,0.005691266755777746
FullBath,4.02829647064209,0.02427901810471345,0.005611645091481622
SaleCondition_Normal,3.9247066974639893,0.02365467031979151,0.005467338671529883
Functional_Typ,3.280200958251953,0.019770158187935795,0.004569505680775738
MSZoning_RM,3.2784295082092285,0.01975948144952482,0.004567037950555406
BsmtExposure_Gd,3.1127817630767822,0.018761102945761273,0.004336281261552492
ExterCond_Fa,2.667895555496216,0.016079721283039663,0.0037165295820939487
Neighborhood_IDOTRR,2.6269359588623047,0.01583285296153353,0.0036594705445889167
TotRmsAbvGrd,2.572603940963745,0.015505387479328225,0.0035837829670303206
Neighborhood_Crawfor,2.506283760070801,0.015105667924339511,0.003491395199574182
KitchenQual_TA,2.3296329975128174,0.014040972936367812,0.0032453106842363663
Condition1_Norm,2.1571767330169678,0.013001558683101943,0.0030050693422183756
HeatingQC_TA,1.8123000860214233,0.010922946441594545,0.0025246366438349058
LotShape_Reg,1.5644859075546265,0.009429341149767297,0.0021794174604089426
BsmtFinType1_GLQ,1.5033332109451294,0.009060766632237467,0.002094228291175614
Electrical_SBrkr,1.332602620124817,0.008031753217816637,0.001856390910306313
BsmtExposure_No,1.2897685766220093,0.0077735873838761715,0.0017967206621697534
PavedDrive_Y,1.2079375982284546,0.007280382422319097,0.0016827254754748341
Neighborhood_OldTown,1.0918198823928833,0.006580527248898747,0.0015209669219891028
Neighborhood_Edwards,1.0906987190246582,0.006573769864998664,0.0015194050779297338
Neighborhood_NAmes,1.0173438787460327,0.006131651587912362,0.0014172176316019928
SaleCondition_Partial,0.8358874320983887,0.005037992174936511,0.0011644385261987498
ExterCond_TA,0.7536196112632751,0.004542154312443567,0.0010498347932459296
SaleCondition_Family,0.7070537805557251,0.004261496556727434,0.0009849659542155351
BsmtCond_TA,0.7032915949821472,0.0042388214203962615,0.0009797250166725627
Exterior1st_VinylSd,0.6805698871612549,0.004101875006552615,0.0009480723910298265
RoofStyle_Gable,0.6660880446434021,0.004014591233065974,0.0009278983643480304
BsmtQual_Gd,0.6388006210327148,0.0038501267114739823,0.0008898854380701179
BsmtQual_TA,0.6111813187599182,0.0036836619180289514,0.0008514101860227974
SaleType_New,0.6058623790740967,0.0036516040409905826,0.0008440006018481078
HouseStyle_1Story,0.5915964245796204,0.003565621450092252,0.0008241273194078341
BsmtFinType1_Rec,0.5851817727088928,0.0035269595864385063,0.0008151913461133477
