,model_id,mean_residual_deviance,rmse,mse,mae,rmsle
0,StackedEnsemble_BestOfFamily_AutoML_20190424_170347,0.017771147443091106,0.13330846725955225,0.017771147443091106,0.08906290344389665,0.010314101212581087
1,StackedEnsemble_AllModels_AutoML_20190424_170347,0.017864781338655416,0.1336591984812696,0.017864781338655416,0.08868939263837926,0.010337786064665726
2,XGBoost_2_AutoML_20190424_170347,0.01837509526399553,0.13555476850334527,0.01837509526399553,0.092035515667641,0.010492037104471958
3,XGBoost_grid_1_AutoML_20190424_170347_model_5,0.018419700296621384,0.13571919649268996,0.018419700296621384,0.09213951515824828,0.01053380067338247
4,XGBoost_grid_1_AutoML_20190424_170347_model_9,0.018492078713982302,0.13598558274310665,0.018492078713982302,0.09197817632596787,0.010527736376591948
5,XGBoost_grid_1_AutoML_20190424_170347_model_7,0.018562484213347708,0.13624420799926767,0.018562484213347708,0.09156292758575857,0.010559032253744063
6,XGBoost_grid_1_AutoML_20190424_170347_model_10,0.01861275690700669,0.13642857804362946,0.01861275690700669,0.0908133911759886,0.010544551850551151
7,XGBoost_1_AutoML_20190424_170347,0.018958303125546454,0.13768915398660295,0.018958303125546454,0.09193426876851957,0.01062706547860466
8,XGBoost_grid_1_AutoML_20190424_170347_model_12,0.019044140005446818,0.13800050726517935,0.019044140005446818,0.09195231803475994,0.01067939377149727
9,GBM_4_AutoML_20190424_170347,0.01927964074983761,0.13885114601557166,0.01927964074983761,0.09294235728947914,0.010740159032233132
10,XGBoost_3_AutoML_20190424_170347,0.01931431318233031,0.13897594461751395,0.01931431318233031,0.09386630384889368,0.01074921115874496
11,GBM_3_AutoML_20190424_170347,0.019658828691657904,0.14020994505261708,0.019658828691657904,0.09357472775893752,0.01085273212819475
12,XGBoost_grid_1_AutoML_20190424_170347_model_1,0.01972111052983215,0.14043187148874772,0.01972111052983215,0.09344581512555684,0.010874629392812557
13,GBM_2_AutoML_20190424_170347,0.019788645916408453,0.14067212202994755,0.019788645916408453,0.09393880284157444,0.010890205214481523
14,XGBoost_grid_1_AutoML_20190424_170347_model_6,0.019860235641363036,0.14092634828648273,0.019860235641363036,0.09380378919105008,0.010901540074683564
15,GBM_1_AutoML_20190424_170347,0.02002734340177656,0.14151799674167434,0.02002734340177656,0.09427278635324858,0.010962235648138958
16,XGBoost_grid_1_AutoML_20190424_170347_model_3,0.020599180693820367,0.14352414672737254,0.020599180693820367,0.09803144964453292,0.011091592157606248
17,XGBoost_grid_1_AutoML_20190424_170347_model_4,0.02081380560676635,0.14426990540915438,0.02081380560676635,0.09612959966267624,0.011174435435436872
