Model Name,ntrees_default,ntrees_actual,max_depth_default,max_depth_actual,min_rows_default,min_rows_actual,min_sum_hessian_in_leaf_default,min_sum_hessian_in_leaf_actual,sample_rate_default,sample_rate_actual,col_sample_rate_default,col_sample_rate_actual,col_sample_rate_per_tree_default,col_sample_rate_per_tree_actual,booster_default,booster_actual,reg_lambda_default,reg_lambda_actual,reg_alpha_default,reg_alpha_actual
XGBoost_2_AutoML_20190424_170347,50,149,6,5,1.0,3.0,100.0,100.0,1.0,0.8,1.0,0.8,1.0,0.8,gbtree,gbtree,1.0,1.0,0.0,0.0
XGBoost_grid_1_AutoML_20190424_170347_model_5,50,206,6,15,1.0,20.0,100.0,100.0,1.0,0.6,1.0,1.0,1.0,0.7,gbtree,gbtree,1.0,10.0,0.0,0.001
XGBoost_grid_1_AutoML_20190424_170347_model_9,50,188,6,5,1.0,1.0,100.0,100.0,1.0,0.6,1.0,0.6,1.0,0.9,gbtree,gbtree,1.0,1.0,0.0,0.1
XGBoost_grid_1_AutoML_20190424_170347_model_7,50,168,6,20,1.0,15.0,100.0,100.0,1.0,1.0,1.0,1.0,1.0,0.8,gbtree,gbtree,1.0,1.0,0.0,0.001
XGBoost_grid_1_AutoML_20190424_170347_model_10,50,165,6,20,1.0,5.0,100.0,100.0,1.0,0.6,1.0,0.8,1.0,0.7,gbtree,gbtree,1.0,0.01,0.0,0.1
XGBoost_1_AutoML_20190424_170347,50,149,6,5,1.0,3.0,100.0,100.0,1.0,0.8,1.0,0.8,1.0,0.8,gbtree,gbtree,1.0,1.0,0.0,0.0
XGBoost_grid_1_AutoML_20190424_170347_model_12,50,167,6,10,1.0,5.0,100.0,100.0,1.0,0.8,1.0,0.8,1.0,0.9,gbtree,gbtree,1.0,0.001,0.0,0.1
XGBoost_3_AutoML_20190424_170347,50,149,6,5,1.0,3.0,100.0,100.0,1.0,0.8,1.0,0.8,1.0,0.8,gbtree,gbtree,1.0,1.0,0.0,0.0
XGBoost_grid_1_AutoML_20190424_170347_model_1,50,174,6,10,1.0,3.0,100.0,100.0,1.0,1.0,1.0,0.6,1.0,0.8,gbtree,gbtree,1.0,1.0,0.0,0.5
XGBoost_grid_1_AutoML_20190424_170347_model_6,50,169,6,15,1.0,0.1,100.0,100.0,1.0,0.8,1.0,0.6,1.0,0.7,gbtree,gbtree,1.0,1.0,0.0,0.01
XGBoost_grid_1_AutoML_20190424_170347_model_3,50,281,6,15,1.0,5.0,100.0,100.0,1.0,0.8,1.0,0.6,1.0,0.8,gbtree,gbtree,1.0,100.0,0.0,1.0
XGBoost_grid_1_AutoML_20190424_170347_model_4,50,171,6,15,1.0,0.01,100.0,100.0,1.0,1.0,1.0,0.8,1.0,1.0,gbtree,gbtree,1.0,1.0,0.0,0.1
XGBoost_grid_1_AutoML_20190424_170347_model_11,50,276,6,5,1.0,5.0,100.0,100.0,1.0,0.8,1.0,0.8,1.0,1.0,gbtree,gbtree,1.0,100.0,0.0,0.001
XGBoost_grid_1_AutoML_20190424_170347_model_8,50,298,6,10,1.0,1.0,100.0,100.0,1.0,0.6,1.0,1.0,1.0,0.9,gbtree,gbtree,1.0,100.0,0.0,0.001
XGBoost_grid_1_AutoML_20190424_170347_model_13,50,124,6,5,1.0,0.1,100.0,100.0,1.0,1.0,1.0,0.8,1.0,0.9,gbtree,gbtree,1.0,10.0,0.0,0.001
XGBoost_grid_1_AutoML_20190424_170347_model_14,50,51,6,20,1.0,10.0,100.0,100.0,1.0,0.6,1.0,0.8,1.0,0.9,gbtree,gbtree,1.0,0.01,0.0,1.0
XGBoost_grid_1_AutoML_20190424_170347_model_2,50,90,6,5,1.0,3.0,100.0,100.0,1.0,1.0,1.0,0.8,1.0,0.8,gbtree,dart,1.0,0.1,0.0,0.01
XGBoost_grid_1_AutoML_20190424_170347_model_15,50,1,6,10,1.0,0.01,100.0,100.0,1.0,0.8,1.0,1.0,1.0,1.0,gbtree,gbtree,1.0,0.01,0.0,0.001
