variable,relative_importance,scaled_importance,percentage
OverallQual,152.0452423095703,1.0,0.209459652495055
GrLivArea,148.80572509765625,0.9786937285066883,0.20499684827210063
TotalBsmtSF,80.96356964111328,0.5324965675431537,0.11153654599239855
YearRemodAdd,34.195213317871094,0.22490156744430218,0.04710780416247671
YearBuilt,31.4035701751709,0.2065409591128932,0.04326199752178197
GarageCars,28.746450424194336,0.18906510974980323,0.03960151218713322
BsmtFinSF1,26.267845153808594,0.17276334829554343,0.03618695089786668
Fireplaces,25.493135452270508,0.1676680905303531,0.03511969997699718
LotArea,23.881134033203125,0.1570659737223488,0.03289898427468062
GarageArea,23.05233383178711,0.15161496329396232,0.031757217524603865
1stFlrSF,15.87026596069336,0.10437857653171975,0.021863100368262525
GarageYrBlt,14.60229778289795,0.09603916282475367,0.02011632967118891
LotFrontage,10.387711524963379,0.06831987221154592,0.014310256691936973
CentralAir_Y,9.860748291015625,0.06485404042395973,0.013584304770102853
FireplaceQu_None,7.181656837463379,0.04723368339826926,0.009893550910662928
GarageType_Attchd,6.039364337921143,0.03972083733882807,0.008319912785803534
ExterQual_TA,5.997664928436279,0.039446580750121654,0.008262467096038608
ExterCond_Fa,4.55963659286499,0.029988683128810992,0.006281419146945069
MSZoning_RL,4.48555326461792,0.02950143783838465,0.006179360917732515
MasVnrArea,3.9450323581695557,0.02594643737774648,0.005434731756627484
Functional_Typ,3.7458434104919434,0.024636373710827816,0.005160326276208303
TotRmsAbvGrd,3.7361159324645996,0.024572396187561827,0.0051469255664175146
SaleCondition_Normal,2.8616859912872314,0.018821279428531686,0.003942298648612575
BsmtExposure_Gd,2.523791790008545,0.016598952730595817,0.0034768108707324444
FullBath,2.4948575496673584,0.01640865252848706,0.003436950656529005
KitchenQual_TA,2.417677402496338,0.01590103949174449,0.003330626206250947
GarageQual_TA,2.2860045433044434,0.015035028446664874,0.003149231833691691
Condition1_Norm,2.184410572052002,0.014366845939213625,0.0030092745578776782
Neighborhood_IDOTRR,2.1812968254089355,0.014346366859462306,0.003004985016949548
Neighborhood_Crawfor,2.0871522426605225,0.01372717890383571,0.002875290122934878
Neighborhood_OldTown,1.8300330638885498,0.012036108700872914,0.0025210791458775486
PavedDrive_Y,1.7620543241500854,0.011589013226487357,0.002427430683180638
BsmtQual_TA,1.7506284713745117,0.011513865509912903,0.0024116902685811558
GarageCond_TA,1.534685492515564,0.01009361075166615,0.0021142042004643428
Neighborhood_Edwards,1.5315101146697998,0.010072726324126492,0.0021098297555293276
HeatingQC_TA,1.4941318035125732,0.00982688955482382,0.002058336871260683
MSZoning_RM,1.3562219142913818,0.008919857627179539,0.001868350278894392
Electrical_SBrkr,1.1689212322235107,0.00768798296130529,0.00161032223946291
GarageFinish_Unf,1.0929652452468872,0.007188421213611968,0.0015056842093912443
LotShape_Reg,1.0195207595825195,0.006705377584303057,0.0014045060586562496
HouseStyle_1Story,1.000463604927063,0.006580038873495813,0.0013782526558463863
BsmtFinType1_Unf,0.9944098591804504,0.006540223449779451,0.0013699129310308135
SaleType_New,0.9263600707054138,0.006092660688581803,0.001276166590600627
ExterCond_TA,0.855754554271698,0.005628288930799603,0.0011788994435870494
BsmtExposure_No,0.815066397190094,0.005360683338782713,0.0011228468692774582
Exterior1st_BrkFace,0.8054078817367554,0.0052971593816589935,0.0011095411632932133
FireplaceQu_Gd,0.8019970059394836,0.005274726086506443,0.001104842293086241
HeatingQC_Fa,0.7739303112030029,0.005090131722946314,0.0010661772218423906
Neighborhood_NAmes,0.7583378553390503,0.004987580300572928,0.0010446968365491872
BsmtCond_TA,0.7433499097824097,0.004889004736293681,0.0010240492331107525
SaleType_WD,0.7348769307136536,0.004833278039818005,0.00101237673863226
BldgType_Duplex,0.687950611114502,0.004524644116872835,0.000947730384383979
BsmtFinType1_GLQ,0.6080726385116577,0.003999287509921534,0.0008376893720559783
SaleCondition_Partial,0.598419725894928,0.003935800402596755,0.0008243913846178138
BsmtQual_Gd,0.5799917578697205,0.0038145998458066423,0.0007990047581103496
LandContour_Lvl,0.5625681281089783,0.003700004811486088,0.0007750017220439075
GarageFinish_RFn,0.5603455305099487,0.003685386809861912,0.0007719398405035354
GarageType_None,0.5323089957237244,0.003500990807985439,0.0007333163180290118
GarageType_Detchd,0.5121881365776062,0.003368656123647528,0.0007055975410345501
Exterior2nd_WdSdng,0.507909893989563,0.003340518166003759,0.0006997037742045659
Exterior1st_WdSdng,0.5049980282783508,0.0033213668550716915,0.0006956923472719102
Foundation_CBlock,0.47376003861427307,0.003115914917282833,0.0006526584557782203
SaleCondition_Family,0.46418920159339905,0.003052967620310611,0.0006394735368289155
MasVnrType_BrkFace,0.44982728362083435,0.0029585094330341994,0.0006196883577466856
Neighborhood_NridgHt,0.4394553601741791,0.002890293398851837,0.0006053998509322571
Foundation_PConc,0.41882163286209106,0.0027545855858439367,0.0005769745395787585
HouseStyle_2Story,0.4170430600643158,0.0027428879307857534,0.0005745243528152644
Neighborhood_BrkSide,0.39150530099868774,0.0025749263512078,0.0005393431787243458
KitchenQual_Gd,0.3595077395439148,0.002364478717538181,0.0004952628905075007
Exterior1st_VinylSd,0.34901508688926697,0.0022954686485924893,0.00048080806544747637
MasVnrType_None,0.3420524597167969,0.00224967552105553,0.00047121625286692303
ExterQual_Fa,0.33646199107170105,0.0022129070660866237,0.00046351474506635594
LotConfig_CulDSac,0.3320528268814087,0.002183908038406987,0.00045744061880588466
MasVnrType_Stone,0.3298507034778595,0.0021694246953565966,0.0004544069428035833
BsmtFinType1_Rec,0.3280181586742401,0.002157372066969263,0.0004518824034499203
BsmtFinType2_BLQ,0.3248356878757477,0.0021364409891522222,0.000447498187164016
FireplaceQu_Po,0.30924099683761597,0.0020338748660611735,0.0004260147226635999
Condition1_Feedr,0.26675519347190857,0.0017544461728620493,0.000367485685688964
BsmtFinType2_Unf,0.2607695758342743,0.0017150788270200313,0.00035923981510924233
FireplaceQu_TA,0.25476977229118347,0.0016756181806232505,0.00035097440182774235
Neighborhood_Sawyer,0.23930498957633972,0.0015739064632427301,0.0003296699008505433
RoofStyle_Gable,0.23710767924785614,0.001559454775737706,0.00032664285540777384
BsmtFinType1_BLQ,0.23483729362487793,0.0015445224727699115,0.00032351514041718875
Exterior2nd_HdBoard,0.23126034438610077,0.0015209969142950576,0.0003185874851142937
Exterior2nd_Plywood,0.23010918498039246,0.00151342575068466,0.0003170016318154766
