variable,relative_importance,scaled_importance,percentage
OverallQual,431.4364318847656,1.0,0.3955564837340161
GrLivArea,173.00204467773438,0.4009908109103366,0.1586145151733445
YearBuilt,128.8000946044922,0.29853782639963516,0.11808857287223581
TotalBsmtSF,39.809349060058594,0.09227164448340204,0.036498647240209736
GarageCars,38.781795501708984,0.08988994121865766,0.035556549071509624
1stFlrSF,27.712448120117188,0.06423298097254576,0.025407772093254163
BsmtFinSF1,26.96422576904297,0.062498722352323205,0.02472177485155352
ExterQual_TA,20.460988998413086,0.04742526937057116,0.018759372792361662
FireplaceQu_None,20.113950729370117,0.04662089068718806,0.01844119558877205
LotArea,18.603254318237305,0.043119340286047365,0.0170561346244794
CentralAir_Y,16.765911102294922,0.038860675323712596,0.015371592086577002
GarageArea,15.43069076538086,0.035765850134562384,0.014147413916985284
YearRemodAdd,12.70493221282959,0.02944798184364507,0.01164834015113539
LotFrontage,12.171679496765137,0.028211988133668153,0.011159434825299562
Fireplaces,11.962077140808105,0.027726163709797955,0.010967263824481361
KitchenQual_TA,6.349706172943115,0.014717593841586118,0.005821639669003215
TotRmsAbvGrd,5.983767986297607,0.013869408200315916,0.005486134339188692
FullBath,5.924962997436523,0.013733107729342267,0.005432219804159065
MSZoning_RM,5.2349138259887695,0.012133685148283878,0.004799557831990825
GarageYrBlt,3.763091802597046,0.008722239302225055,0.003450138308674781
PavedDrive_Y,3.4236843585968018,0.007935547639405774,0.0031389573207471198
GarageType_Detchd,3.306870937347412,0.007664792986769971,0.003031858562395877
HouseStyle_1Story,2.8828227519989014,0.006681917749516545,0.0026430758895986746
GarageQual_TA,2.563709020614624,0.005942263636417652,0.0023505009094418744
Neighborhood_Crawfor,2.519587516784668,0.005839997113312017,0.002310048723158506
LotShape_Reg,2.3401920795440674,0.005424187450560782,0.0021455725150580003
MSZoning_RL,2.275782823562622,0.005274897193129188,0.0020865197857726126
KitchenQual_Gd,2.2488479614257812,0.005212466530935979,0.002061824932558281
GarageFinish_Unf,2.0539655685424805,0.004760760605147699,0.00188314972487165
MasVnrArea,2.004672050476074,0.00464650618798811,0.001837955649368924
SaleCondition_Normal,1.9973909854888916,0.00462962985476939,0.0018312801063426038
BsmtQual_Gd,1.9048986434936523,0.00441524753756178,0.0017464797907732112
BsmtExposure_No,1.8779171705245972,0.004352708838984138,0.0017217422030665372
Functional_Typ,1.8310370445251465,0.004244048275028862,0.0016787608124678329
Neighborhood_IDOTRR,1.6412655115127563,0.0038041884973476917,0.0015047714254722434
BsmtQual_TA,1.6210424900054932,0.0037573147982052314,0.0014862302298598456
Condition1_Norm,1.5041104555130005,0.0034862852192202917,0.001379022722608652
GarageType_Attchd,1.4836068153381348,0.0034387610913081124,0.0013602242456791848
Neighborhood_Edwards,1.4545687437057495,0.003371455529036679,0.0013336010941313557
HouseStyle_2Story,1.3372974395751953,0.003099639577800839,0.00122608253223769
GarageCond_TA,1.3169023990631104,0.0030523671663751565,0.0012073836233965195
ExterCond_Fa,1.2420015335083008,0.002878759051669593,0.001138711807995895
ExterQual_Gd,1.2302067279815674,0.0028514205965576617,0.0011278979048210992
FireplaceQu_Gd,1.1899043321609497,0.00275800614927848,0.0010909472145253895
BsmtCond_TA,1.173046350479126,0.00271893206921487,0.0010754912088102864
HeatingQC_TA,1.1491267681121826,0.0026634903387554166,0.001053560872857616
BsmtExposure_Gd,1.0954073667526245,0.0025389774386165003,0.0010043089878991416
Neighborhood_OldTown,1.0300692319869995,0.0023875341901170868,0.0009444046290374567
BsmtFinType1_Unf,1.023294448852539,0.0023718313365011685,0.0009381932634765542
Exterior1st_BrkFace,0.8616610765457153,0.0019971912728405385,0.0007900019572290674
BsmtFinType1_GLQ,0.7760732173919678,0.001798812432231622,0.0007115319205905736
ExterCond_TA,0.7536536455154419,0.0017468474839341774,0.0006909768483646163
Exterior1st_Wd Sdng,0.691342294216156,0.0016024198308797664,0.0006338475537684572
Neighborhood_NAmes,0.6855323314666748,0.0015889532751600746,0.0006285207703399677
RoofStyle_Gable,0.6530573964118958,0.001513681618306921,0.0005987465784303008
SaleType_New,0.5851157307624817,0.0013562038055209091,0.0005364552085385423
GarageFinish_RFn,0.5797188878059387,0.0013436947947890931,0.000531507188238474
SaleType_WD,0.5392529368400574,0.001249901253086779,0.0004944065446857469
MasVnrType_None,0.5094074010848999,0.0011807241193320455,0.0004670430809029267
Foundation_CBlock,0.4779570996761322,0.0011078273978582134,0.00043820831008099977
Exterior1st_MetalSd,0.4489428997039795,0.0010405771662414679,0.00041160704493238174
Neighborhood_NoRidge,0.4361993670463562,0.0010110397147982688,0.0003999233145010457
BldgType_Duplex,0.40827664732933044,0.0009463193582093664,0.0003743227578227278
SaleCondition_Partial,0.40487751364707947,0.0009384407150743822,0.0003712063094476583
Exterior1st_VinylSd,0.3966422379016876,0.0009193526753615203,0.0003636559115774634
Neighborhood_BrkSide,0.3634832203388214,0.0008424954256897476,0.0003332545281478296
MasVnrType_BrkFace,0.3584935963153839,0.0008309302827053225,0.0003286798608550293
RoofStyle_Hip,0.3424580693244934,0.0007937625198420011,0.0003139779112685541
Condition2_Norm,0.3281736969947815,0.0007606536507849549,0.000300881483443939
BsmtFinType1_Rec,0.26829832792282104,0.0006218722112797422,0.00024598558522571196
Foundation_PConc,0.2672767639160156,0.0006195043908285516,0.0002450489784939255
Neighborhood_NWAmes,0.24785619974136353,0.0005744906582380706,0.00022724350471069158
Electrical_SBrkr,0.24349114298820496,0.0005643731613588908,0.00022324146322097335
