variable,relative_importance,scaled_importance,percentage
OverallQual,487.53765869140625,1.0,0.39153010608635574
GrLivArea,282.7586669921875,0.5799729763463535,0.22707688095610726
TotalBsmtSF,102.2725830078125,0.20977370913730248,0.08213272259265636
GarageCars,73.44537353515625,0.15064553932570063,0.05898226399362784
YearBuilt,51.44377517700195,0.1055175415886468,0.04131329425217434
YearRemodAdd,36.47008514404297,0.07480465251019146,0.02928827353306824
FullBath,34.50741195678711,0.07077896720718564,0.027712096539312087
LotArea,21.21674346923828,0.0435181633480086,0.017038671112329165
Fireplaces,19.68627166748047,0.04037897650885092,0.015809584956168864
BsmtFinSF1,17.853036880493164,0.03661878536401122,0.014337356918324802
GarageArea,15.737373352050781,0.03227929796088218,0.012638316955017286
GarageYrBlt,12.520646095275879,0.025681392754115424,0.01005503842946418
1stFlrSF,11.782033920288086,0.02416640788716116,0.009461876243786353
CentralAir_Y,11.333064079284668,0.02324551524840892,0.009101319051241544
FireplaceQu_None,8.00503158569336,0.01641930924306353,0.006428653889801345
MSZoning_RL,4.2866082191467285,0.008792363303077675,0.003442474936803783
Functional_Typ,3.9684691429138184,0.008139820734188077,0.003186984875580576
LotFrontage,3.797917127609253,0.007789997469740481,0.003050018535739933
GarageFinish_Unf,2.9436919689178467,0.006037876082883471,0.0023640102632676353
ExterCond_Fa,2.6973061561584473,0.005532508326430112,0.002166143571970828
SaleCondition_Normal,2.5551648139953613,0.0052409588642929605,0.0020519931801308493
GarageQual_TA,2.476799964904785,0.005080222872532007,0.0019890602002247877
Condition1_Norm,2.244460105895996,0.004603665103369294,0.0018024734863082332
KitchenQual_TA,1.9859999418258667,0.004073531359929127,0.001594910165499148
MasVnrArea,1.931954026222229,0.003962676506688248,0.0015515071530495593
Neighborhood_Edwards,1.768335223197937,0.0036270741176062248,0.0014201087140494402
MSZoning_RM,1.6800169944763184,0.00344592251393591,0.0013491824074466886
BsmtExposure_Gd,1.4160215854644775,0.002904435298937119,0.0011371738607138064
Neighborhood_Crawfor,1.405508279800415,0.0028828712095244546,0.0011287308704984104
TotRmsAbvGrd,1.1911182403564453,0.0024431307389741154,0.000956559237413372
Electrical_SBrkr,1.1846990585327148,0.002429964203611575,0.0009514041424260869
Neighborhood_OldTown,1.1262568235397339,0.0023100919558967114,0.0009044705485614763
PavedDrive_Y,1.095165491104126,0.0022463197900314943,0.0008795018256949113
GarageType_Attchd,1.0404119491577148,0.002134013507695532,0.0008355305350577477
Neighborhood_IDOTRR,0.9683821201324463,0.0019862714251277914,0.0007776850617965812
HeatingQC_TA,0.9194506406784058,0.0018859069125988991,0.0007383893335588385
Neighborhood_NAmes,0.8553120493888855,0.001754350734022512,0.0006868811290045102
BsmtExposure_No,0.7914328575134277,0.0016233266157073955,0.0006355812420607214
BsmtFinType1_GLQ,0.7775396108627319,0.0015948298495540147,0.0006244239001855701
SaleType_New,0.7775330543518066,0.0015948164013396902,0.000624418634804789
HouseStyle_1Story,0.740156352519989,0.0015181521659406443,0.0005944022785859712
BldgType_Duplex,0.7079210877418518,0.001452033653445303,0.0005685148903743982
Neighborhood_CollgCr,0.5298339128494263,0.0010867548453006623,0.0004254972398704294
BsmtFinType1_Rec,0.48055365681648254,0.0009856749488979593,0.0003859214173086812
BsmtQual_Gd,0.4751700758934021,0.0009746325589879563,0.0003815979892157709
SaleType_WD,0.44828587770462036,0.0009194897454852183,0.00036000791759514377
BsmtFinType1_LwQ,0.4373991787433624,0.00089715978026678,0.00035126506394426397
LotShape_Reg,0.4100213050842285,0.0008410043773536624,0.00032927853308436903
Neighborhood_Gilbert,0.3935525715351105,0.0008072249692289207,0.00031605287783775457
LotConfig_CulDSac,0.3806474804878235,0.0007807550323589661,0.0003056891006469621
GarageCond_Fa,0.3682968020439148,0.0007554222642666325,0.0002957705592683097
Neighborhood_Mitchel,0.3424614369869232,0.0007024307371580683,0.00027502278103781557
Condition1_Feedr,0.3082931935787201,0.0006323474465669093,0.00024758306283777817
Exterior1st_BrkFace,0.30367040634155273,0.000622865538544511,0.00024387061038386748
GarageFinish_RFn,0.29334500432014465,0.0006016868627287343,0.0002355785211949479
Foundation_CBlock,0.28328439593315125,0.0005810513113869221,0.00022749908158893774
GarageType_Detchd,0.2744441330432892,0.0005629188395003603,0.00022039967294758435
